siteID,sampleType,date,year,lakeID,easting,northing,chla_ugL
Loch.I,Inlet,5/31/16,2016,Loch,444003.8772,4460303.558,0.27
Loch.LH,Hypolimnion,5/31/16,2016,Loch,444220.6242,4460440.37,0.64
Loch.LS,Epilimnion,5/31/16,2016,Loch,444220.6242,4460440.37,0.33
Loch.O,Outlet,5/31/16,2016,Loch,444295.1522,4460472.565,0.62
Sky.O,Outlet,6/2/16,2016,Sky,443217.2084,4458908.033,2.09
Loch.I,Inlet,6/2/16,2016,Loch,444003.8772,4460303.558,0.40
Loch.LH,Hypolimnion,6/2/16,2016,Loch,444220.6242,4460440.37,0.38
Loch.LS,Epilimnion,6/2/16,2016,Loch,444220.6242,4460440.37,0.50
Loch.O,Outlet,6/2/16,2016,Loch,444295.1522,4460472.565,0.33
Loch.I,Inlet,6/7/16,2016,Loch,444003.8772,4460303.558,1.22
Loch.LS,Epilimnion,6/7/16,2016,Loch,444220.6242,4460440.37,0.92
Loch.O,Outlet,6/7/16,2016,Loch,444295.1522,4460472.565,0.87
Sky.IS,Inlet,6/9/16,2016,Sky,443011,4458870,0.08
Sky.O,Outlet,6/9/16,2016,Sky,443217.2084,4458908.033,3.15
Loch.I,Inlet,6/14/16,2016,Loch,444003.8772,4460303.558,2.76
Loch.O,Outlet,6/14/16,2016,Loch,444295.1522,4460472.565,2.52
Sky.IS,Inlet,6/16/16,2016,Sky,443011,4458870,2.12
Sky.O,Outlet,6/16/16,2016,Sky,443217.2084,4458908.033,3.15
Loch.I,Inlet,6/21/16,2016,Loch,444003.8772,4460303.558,3.43
Loch.LH,Hypolimnion,6/21/16,2016,Loch,444220.6242,4460440.37,2.90
Loch.LS,Epilimnion,6/21/16,2016,Loch,444220.6242,4460440.37,2.18
Loch.O,Outlet,6/21/16,2016,Loch,444295.1522,4460472.565,2.58
Sky.IS,Inlet,6/23/16,2016,Sky,443011,4458870,0.07
Sky.LH,Hypolimnion,6/23/16,2016,Sky,443180.0757,4458843.043,4.05
Sky.LS,Epilimnion,6/23/16,2016,Sky,443180.0757,4458843.043,4.21
Sky.O,Outlet,6/23/16,2016,Sky,443217.2084,4458908.033,5.40
Loch.I,Inlet,6/28/16,2016,Loch,444003.8772,4460303.558,2.57
Loch.LH,Hypolimnion,6/28/16,2016,Loch,444220.6242,4460440.37,3.15
Loch.LS,Epilimnion,6/28/16,2016,Loch,444220.6242,4460440.37,1.82
Loch.O,Outlet,6/28/16,2016,Loch,444295.1522,4460472.565,1.88
