lakeID	dateTime	localTZ	daylightSavings	doObs
Sky	2016-07-14 14:30:00	Mountain	yes	8.91
Sky	2016-07-14 15:00:00	Mountain	yes	8.91
Sky	2016-07-14 15:30:00	Mountain	yes	8.89
Sky	2016-07-14 16:00:00	Mountain	yes	8.89
Sky	2016-07-14 16:30:00	Mountain	yes	8.92
Sky	2016-07-14 17:00:00	Mountain	yes	8.91
Sky	2016-07-14 17:30:00	Mountain	yes	8.84
Sky	2016-07-14 18:00:00	Mountain	yes	8.94
Sky	2016-07-14 18:30:00	Mountain	yes	8.94
Sky	2016-07-14 19:00:00	Mountain	yes	8.93
Sky	2016-07-14 19:30:00	Mountain	yes	8.94
Sky	2016-07-14 20:00:00	Mountain	yes	8.95
Sky	2016-07-14 20:30:00	Mountain	yes	8.94
Sky	2016-07-14 21:00:00	Mountain	yes	8.93
Sky	2016-07-14 21:30:00	Mountain	yes	8.92
Sky	2016-07-14 22:00:00	Mountain	yes	8.89
Sky	2016-07-14 22:30:00	Mountain	yes	8.88
Sky	2016-07-14 23:00:00	Mountain	yes	8.89
Sky	2016-07-14 23:30:00	Mountain	yes	8.91
Sky	2016-07-15 00:00:00	Mountain	yes	8.92
Sky	2016-07-15 00:30:00	Mountain	yes	8.93
Sky	2016-07-15 01:00:00	Mountain	yes	8.93
Sky	2016-07-15 01:30:00	Mountain	yes	8.94
Sky	2016-07-15 02:00:00	Mountain	yes	8.93
Sky	2016-07-15 02:30:00	Mountain	yes	8.94
Sky	2016-07-15 03:00:00	Mountain	yes	8.93
Sky	2016-07-15 03:30:00	Mountain	yes	8.93
Sky	2016-07-15 04:00:00	Mountain	yes	8.91
Sky	2016-07-15 04:30:00	Mountain	yes	8.89
Sky	2016-07-15 05:00:00	Mountain	yes	8.88
Sky	2016-07-15 05:30:00	Mountain	yes	8.88
Sky	2016-07-15 06:00:00	Mountain	yes	8.86
Sky	2016-07-15 06:30:00	Mountain	yes	8.85
Sky	2016-07-15 07:00:00	Mountain	yes	8.84
Sky	2016-07-15 07:30:00	Mountain	yes	8.82
Sky	2016-07-15 08:00:00	Mountain	yes	8.83
Sky	2016-07-15 08:30:00	Mountain	yes	8.8
Sky	2016-07-15 09:00:00	Mountain	yes	8.79
Sky	2016-07-15 09:30:00	Mountain	yes	8.81
Sky	2016-07-15 10:00:00	Mountain	yes	NA
Sky	2016-07-15 10:30:00	Mountain	yes	NA
Sky	2016-07-15 11:00:00	Mountain	yes	NA
Sky	2016-07-15 11:30:00	Mountain	yes	NA
Sky	2016-07-15 12:00:00	Mountain	yes	NA
Sky	2016-07-15 12:30:00	Mountain	yes	NA
Sky	2016-07-15 13:00:00	Mountain	yes	8.76
Sky	2016-07-15 13:30:00	Mountain	yes	8.82
Sky	2016-07-15 14:00:00	Mountain	yes	8.8
Sky	2016-07-15 14:30:00	Mountain	yes	8.83
Sky	2016-07-15 15:00:00	Mountain	yes	8.84
Sky	2016-07-15 15:30:00	Mountain	yes	8.82
Sky	2016-07-15 16:00:00	Mountain	yes	8.86
Sky	2016-07-15 16:30:00	Mountain	yes	8.84
Sky	2016-07-15 17:00:00	Mountain	yes	8.88
Sky	2016-07-15 17:30:00	Mountain	yes	8.89
Sky	2016-07-15 18:00:00	Mountain	yes	8.91
Sky	2016-07-15 18:30:00	Mountain	yes	8.92
Sky	2016-07-15 19:00:00	Mountain	yes	8.92
Sky	2016-07-15 19:30:00	Mountain	yes	8.94
Sky	2016-07-15 20:00:00	Mountain	yes	8.95
Sky	2016-07-15 20:30:00	Mountain	yes	8.94
Sky	2016-07-15 21:00:00	Mountain	yes	8.91
Sky	2016-07-15 21:30:00	Mountain	yes	8.89
Sky	2016-07-15 22:00:00	Mountain	yes	8.87
Sky	2016-07-15 22:30:00	Mountain	yes	8.91
Sky	2016-07-15 23:00:00	Mountain	yes	8.93
Sky	2016-07-15 23:30:00	Mountain	yes	8.91
Sky	2016-07-16 00:00:00	Mountain	yes	8.89
Sky	2016-07-16 00:30:00	Mountain	yes	8.88
Sky	2016-07-16 01:00:00	Mountain	yes	8.87
Sky	2016-07-16 01:30:00	Mountain	yes	8.86
Sky	2016-07-16 02:00:00	Mountain	yes	8.87
Sky	2016-07-16 02:30:00	Mountain	yes	8.87
Sky	2016-07-16 03:00:00	Mountain	yes	8.88
Sky	2016-07-16 03:30:00	Mountain	yes	8.87
Sky	2016-07-16 04:00:00	Mountain	yes	8.88
Sky	2016-07-16 04:30:00	Mountain	yes	8.86
Sky	2016-07-16 05:00:00	Mountain	yes	8.85
Sky	2016-07-16 05:30:00	Mountain	yes	8.85
Sky	2016-07-16 06:00:00	Mountain	yes	8.83
Sky	2016-07-16 06:30:00	Mountain	yes	8.83
Sky	2016-07-16 07:00:00	Mountain	yes	8.82
Sky	2016-07-16 07:30:00	Mountain	yes	8.82
Sky	2016-07-16 08:00:00	Mountain	yes	8.84
