lakeID	dateTime	localTZ	daylightSavings	wind
Sky	2016-07-14 14:00:00	Mountain	yes	5.35
Sky	2016-07-14 15:00:00	Mountain	yes	5.98
Sky	2016-07-14 16:00:00	Mountain	yes	5.09
Sky	2016-07-14 17:00:00	Mountain	yes	4.82
Sky	2016-07-14 18:00:00	Mountain	yes	4.22
Sky	2016-07-14 19:00:00	Mountain	yes	4.73
Sky	2016-07-14 20:00:00	Mountain	yes	1.98
Sky	2016-07-14 21:00:00	Mountain	yes	0.77
Sky	2016-07-14 22:00:00	Mountain	yes	0.31
Sky	2016-07-14 23:00:00	Mountain	yes	2.3
Sky	2016-07-15 00:00:00	Mountain	yes	4.67
Sky	2016-07-15 01:00:00	Mountain	yes	5.09
Sky	2016-07-15 02:00:00	Mountain	yes	3.82
Sky	2016-07-15 03:00:00	Mountain	yes	3.63
Sky	2016-07-15 04:00:00	Mountain	yes	3.93
Sky	2016-07-15 05:00:00	Mountain	yes	4.75
Sky	2016-07-15 06:00:00	Mountain	yes	5.19
Sky	2016-07-15 07:00:00	Mountain	yes	7.49
Sky	2016-07-15 08:00:00	Mountain	yes	6.7
Sky	2016-07-15 09:00:00	Mountain	yes	6.58
Sky	2016-07-15 10:00:00	Mountain	yes	6.09
Sky	2016-07-15 11:00:00	Mountain	yes	6.07
Sky	2016-07-15 12:00:00	Mountain	yes	6.69
Sky	2016-07-15 13:00:00	Mountain	yes	5.82
Sky	2016-07-15 14:00:00	Mountain	yes	6.1
Sky	2016-07-15 15:00:00	Mountain	yes	6.16
Sky	2016-07-15 16:00:00	Mountain	yes	6.16
Sky	2016-07-15 17:00:00	Mountain	yes	3.37
Sky	2016-07-15 18:00:00	Mountain	yes	3.82
Sky	2016-07-15 19:00:00	Mountain	yes	3.11
Sky	2016-07-15 20:00:00	Mountain	yes	1.81
Sky	2016-07-15 21:00:00	Mountain	yes	3.16
Sky	2016-07-15 22:00:00	Mountain	yes	2.56
Sky	2016-07-15 23:00:00	Mountain	yes	2.46
Sky	2016-07-16 00:00:00	Mountain	yes	2.2
Sky	2016-07-16 01:00:00	Mountain	yes	2.68
Sky	2016-07-16 02:00:00	Mountain	yes	2.31
Sky	2016-07-16 03:00:00	Mountain	yes	2.34
Sky	2016-07-16 04:00:00	Mountain	yes	3.2
Sky	2016-07-16 05:00:00	Mountain	yes	4.37
Sky	2016-07-16 06:00:00	Mountain	yes	2.43
Sky	2016-07-16 07:00:00	Mountain	yes	2.62
Sky	2016-07-16 08:00:00	Mountain	yes	5.64
Sky	2016-07-16 09:00:00	Mountain	yes	8.92
Sky	2016-07-16 10:00:00	Mountain	yes	8.16
Sky	2016-07-16 11:00:00	Mountain	yes	8.31
Sky	2016-07-16 12:00:00	Mountain	yes	7.62
Sky	2016-07-16 13:00:00	Mountain	yes	10.15
Sky	2016-07-16 14:00:00	Mountain	yes	8.36
Sky	2016-07-16 15:00:00	Mountain	yes	7.35
Sky	2016-07-16 16:00:00	Mountain	yes	10.27
Sky	2016-07-16 17:00:00	Mountain	yes	8.62
Sky	2016-07-16 18:00:00	Mountain	yes	7.8
Sky	2016-07-16 19:00:00	Mountain	yes	3.64
Sky	2016-07-16 20:00:00	Mountain	yes	3.9
Sky	2016-07-16 21:00:00	Mountain	yes	2.68
Sky	2016-07-16 22:00:00	Mountain	yes	2.26
Sky	2016-07-16 23:00:00	Mountain	yes	1.23
Sky	2016-07-17 00:00:00	Mountain	yes	1.73
Sky	2016-07-17 01:00:00	Mountain	yes	1.9
Sky	2016-07-17 02:00:00	Mountain	yes	2.08
Sky	2016-07-17 03:00:00	Mountain	yes	2.42
Sky	2016-07-17 04:00:00	Mountain	yes	3.27
Sky	2016-07-17 05:00:00	Mountain	yes	1.43
Sky	2016-07-17 06:00:00	Mountain	yes	1.84
Sky	2016-07-17 07:00:00	Mountain	yes	1.93
Sky	2016-07-17 08:00:00	Mountain	yes	5.68
Sky	2016-07-17 09:00:00	Mountain	yes	6.42
Sky	2016-07-17 10:00:00	Mountain	yes	7.46
Sky	2016-07-17 11:00:00	Mountain	yes	8.43
Sky	2016-07-17 12:00:00	Mountain	yes	8.88
Sky	2016-07-17 13:00:00	Mountain	yes	8.99
Sky	2016-07-17 14:00:00	Mountain	yes	7.82
Sky	2016-07-17 15:00:00	Mountain	yes	9.38
Sky	2016-07-17 16:00:00	Mountain	yes	9.56
Sky	2016-07-17 17:00:00	Mountain	yes	8.95
Sky	2016-07-17 18:00:00	Mountain	yes	6.31
Sky	2016-07-17 19:00:00	Mountain	yes	4
Sky	2016-07-17 20:00:00	Mountain	yes	4.43
Sky	2016-07-17 21:00:00	Mountain	yes	0.79
Sky	2016-07-17 22:00:00	Mountain	yes	0.61
Sky	2016-07-17 23:00:00	Mountain	yes	1.98
Sky	2016-07-18 00:00:00	Mountain	yes	1.18
Sky	2016-07-18 01:00:00	Mountain	yes	1.95
Sky	2016-07-18 02:00:00	Mountain	yes	3.95
Sky	2016-07-18 03:00:00	Mountain	yes	6.79
Sky	2016-07-18 04:00:00	Mountain	yes	4.59
Sky	2016-07-18 05:00:00	Mountain	yes	1.97
Sky	2016-07-18 06:00:00	Mountain	yes	4.18
Sky	2016-07-18 07:00:00	Mountain	yes	6.07
Sky	2016-07-18 08:00:00	Mountain	yes	5.84
Sky	2016-07-18 09:00:00	Mountain	yes	5.95
Sky	2016-07-18 10:00:00	Mountain	yes	5
Sky	2016-07-18 11:00:00	Mountain	yes	8.02
Sky	2016-07-18 12:00:00	Mountain	yes	5.03
Sky	2016-07-18 13:00:00	Mountain	yes	6.25
Sky	2016-07-18 14:00:00	Mountain	yes	6.51
Sky	2016-07-18 15:00:00	Mountain	yes	6.34
Sky	2016-07-18 16:00:00	Mountain	yes	6.05
Sky	2016-07-18 17:00:00	Mountain	yes	6.12
Sky	2016-07-18 18:00:00	Mountain	yes	5.86
Sky	2016-07-18 19:00:00	Mountain	yes	5.3
Sky	2016-07-18 20:00:00	Mountain	yes	3.41
Sky	2016-07-18 21:00:00	Mountain	yes	3.1
Sky	2016-07-18 22:00:00	Mountain	yes	2.65
Sky	2016-07-18 23:00:00	Mountain	yes	3.74
Sky	2016-07-19 00:00:00	Mountain	yes	5.52
Sky	2016-07-19 01:00:00	Mountain	yes	6.29
Sky	2016-07-19 02:00:00	Mountain	yes	6.05
Sky	2016-07-19 03:00:00	Mountain	yes	6.19
Sky	2016-07-19 04:00:00	Mountain	yes	7.78
Sky	2016-07-19 05:00:00	Mountain	yes	6.57
Sky	2016-07-19 06:00:00	Mountain	yes	8.66
Sky	2016-07-19 07:00:00	Mountain	yes	7.35
Sky	2016-07-19 08:00:00	Mountain	yes	8.34
Sky	2016-07-19 09:00:00	Mountain	yes	9.36
Sky	2016-07-19 10:00:00	Mountain	yes	8.23
Sky	2016-07-19 11:00:00	Mountain	yes	7.41
Sky	2016-07-19 12:00:00	Mountain	yes	10
Sky	2016-07-19 13:00:00	Mountain	yes	8.94
