lakeID	dateTime	localTZ	daylightSavings	wtr0.5	wtr2.0	wtr4.0	wtr6.0	wtr7.0
Sky	2016-07-14 14:30:00	Mountain	yes	8.04	7.5	7.38	7.38	7.24
Sky	2016-07-14 15:00:00	Mountain	yes	8.1	7.5	7.38	7.38	7.16
Sky	2016-07-14 15:30:00	Mountain	yes	8.3	7.5	7.38	7.38	7.24
Sky	2016-07-14 16:00:00	Mountain	yes	8.38	7.75	7.88	7.63	7.24
Sky	2016-07-14 16:30:00	Mountain	yes	8.32	7.75	7.88	7.63	7.36
Sky	2016-07-14 17:00:00	Mountain	yes	8.4	7.75	7.88	7.63	7.88
Sky	2016-07-14 17:30:00	Mountain	yes	8.52	7.75	7.88	7.63	8.16
Sky	2016-07-14 18:00:00	Mountain	yes	8.34	7.63	8	7.5	7.98
Sky	2016-07-14 18:30:00	Mountain	yes	8.28	7.63	8	7.5	7.96
Sky	2016-07-14 19:00:00	Mountain	yes	8.26	7.63	8	7.5	7.86
Sky	2016-07-14 19:30:00	Mountain	yes	8.18	7.63	8	7.5	7.9
Sky	2016-07-14 20:00:00	Mountain	yes	8.16	7.5	7.75	7.5	7.92
Sky	2016-07-14 20:30:00	Mountain	yes	8.14	7.5	7.75	7.5	7.8
Sky	2016-07-14 21:00:00	Mountain	yes	8.18	7.5	7.75	7.5	7.72
Sky	2016-07-14 21:30:00	Mountain	yes	8.24	7.5	7.75	7.5	7.4
Sky	2016-07-14 22:00:00	Mountain	yes	8.22	7.5	7.63	7.13	7.48
Sky	2016-07-14 22:30:00	Mountain	yes	8.26	7.5	7.63	7.13	7.46
Sky	2016-07-14 23:00:00	Mountain	yes	8.18	7.5	7.63	7.13	7.44
Sky	2016-07-14 23:30:00	Mountain	yes	8.14	7.5	7.63	7.13	7.38
Sky	2016-07-15 00:00:00	Mountain	yes	8.06	7.38	7.5	7.25	7.34
Sky	2016-07-15 00:30:00	Mountain	yes	7.98	7.38	7.5	7.25	7.2
Sky	2016-07-15 01:00:00	Mountain	yes	7.86	7.38	7.5	7.25	7.36
Sky	2016-07-15 01:30:00	Mountain	yes	7.82	7.38	7.5	7.25	7.46
Sky	2016-07-15 02:00:00	Mountain	yes	7.76	7.13	7.5	7.13	7.34
Sky	2016-07-15 02:30:00	Mountain	yes	7.76	7.13	7.5	7.13	7.36
Sky	2016-07-15 03:00:00	Mountain	yes	7.72	7.13	7.5	7.13	7.42
Sky	2016-07-15 03:30:00	Mountain	yes	7.68	7.13	7.5	7.13	7.26
Sky	2016-07-15 04:00:00	Mountain	yes	7.68	7	7.38	7	7.38
Sky	2016-07-15 04:30:00	Mountain	yes	7.66	7	7.38	7	7.18
Sky	2016-07-15 05:00:00	Mountain	yes	7.6	7	7.38	7	7.2
Sky	2016-07-15 05:30:00	Mountain	yes	7.6	7	7.38	7	7.26
Sky	2016-07-15 06:00:00	Mountain	yes	7.56	6.88	7.25	6.88	7.2
Sky	2016-07-15 06:30:00	Mountain	yes	7.5	6.88	7.25	6.88	7.16
Sky	2016-07-15 07:00:00	Mountain	yes	7.44	6.88	7.25	6.88	7.08
Sky	2016-07-15 07:30:00	Mountain	yes	7.44	6.88	7.25	6.88	7
Sky	2016-07-15 08:00:00	Mountain	yes	7.42	6.88	7.13	6.75	7.2
Sky	2016-07-15 08:30:00	Mountain	yes	7.48	6.88	7.13	6.75	7.18
Sky	2016-07-15 09:00:00	Mountain	yes	7.5	6.88	7.13	6.75	6.98
Sky	2016-07-15 09:30:00	Mountain	yes	7.5	6.88	7.13	6.75	7.1
Sky	2016-07-15 10:00:00	Mountain	yes	NA	7	7.13	6.88	7.28
Sky	2016-07-15 10:30:00	Mountain	yes	NA	7	7.13	6.88	7.16
Sky	2016-07-15 11:00:00	Mountain	yes	NA	7	7.13	6.88	7.26
Sky	2016-07-15 11:30:00	Mountain	yes	NA	7	7.13	6.88	7.48
Sky	2016-07-15 12:00:00	Mountain	yes	NA	7.38	7.38	7.25	7.5
Sky	2016-07-15 12:30:00	Mountain	yes	NA	7.38	7.38	7.25	7.62
Sky	2016-07-15 13:00:00	Mountain	yes	8	7.38	7.38	7.25	7.74
Sky	2016-07-15 13:30:00	Mountain	yes	8	7.38	7.38	7.25	7.34
Sky	2016-07-15 14:00:00	Mountain	yes	8.06	7.5	7.63	7.25	7.24
Sky	2016-07-15 14:30:00	Mountain	yes	8.1	7.5	7.63	7.25	7.26
Sky	2016-07-15 15:00:00	Mountain	yes	8.28	7.5	7.63	7.25	7.28
Sky	2016-07-15 15:30:00	Mountain	yes	8.24	7.5	7.63	7.25	7.22
Sky	2016-07-15 16:00:00	Mountain	yes	8.12	7.5	7.75	7.5	7.52
Sky	2016-07-15 16:30:00	Mountain	yes	8.18	7.5	7.75	7.5	7.56
Sky	2016-07-15 17:00:00	Mountain	yes	8.1	7.5	7.75	7.5	7.72
Sky	2016-07-15 17:30:00	Mountain	yes	8.06	7.5	7.75	7.5	7.46
Sky	2016-07-15 18:00:00	Mountain	yes	8.1	7.5	7.75	7.25	7.4
Sky	2016-07-15 18:30:00	Mountain	yes	8.22	7.5	7.75	7.25	7.38
Sky	2016-07-15 19:00:00	Mountain	yes	8.12	7.5	7.75	7.25	7.36
Sky	2016-07-15 19:30:00	Mountain	yes	8	7.5	7.75	7.25	7.54
Sky	2016-07-15 20:00:00	Mountain	yes	7.98	7.38	7.63	7	7.86
Sky	2016-07-15 20:30:00	Mountain	yes	8	7.38	7.63	7	7.4
Sky	2016-07-15 21:00:00	Mountain	yes	8.18	7.38	7.63	7	7.26
Sky	2016-07-15 21:30:00	Mountain	yes	8.22	7.38	7.63	7	7.2
Sky	2016-07-15 22:00:00	Mountain	yes	8.12	7.38	7.63	7.13	7.32
Sky	2016-07-15 22:30:00	Mountain	yes	8.04	7.38	7.63	7.13	7.32
Sky	2016-07-15 23:00:00	Mountain	yes	7.98	7.38	7.63	7.13	7.28
Sky	2016-07-15 23:30:00	Mountain	yes	7.94	7.38	7.63	7.13	7.4
Sky	2016-07-16 00:00:00	Mountain	yes	7.94	7.38	7.5	6.88	7.18
Sky	2016-07-16 00:30:00	Mountain	yes	7.96	7.38	7.5	6.88	7.04
Sky	2016-07-16 01:00:00	Mountain	yes	7.96	7.38	7.5	6.88	7.12
