lakeID	dateTime	localTZ	daylightSavings	doObs
Loch	2016-07-19 13:39:00	Mountain	yes	7.204
Loch	2016-07-19 14:09:00	Mountain	yes	7.328
Loch	2016-07-19 14:39:00	Mountain	yes	7.418
Loch	2016-07-19 15:09:00	Mountain	yes	7.396
Loch	2016-07-19 15:39:00	Mountain	yes	7.376
Loch	2016-07-19 16:09:00	Mountain	yes	7.383
Loch	2016-07-19 16:39:00	Mountain	yes	7.424
Loch	2016-07-19 17:09:00	Mountain	yes	7.412
Loch	2016-07-19 17:39:00	Mountain	yes	7.442
Loch	2016-07-19 18:09:00	Mountain	yes	7.408
Loch	2016-07-19 18:39:00	Mountain	yes	7.432
Loch	2016-07-19 19:09:00	Mountain	yes	7.453
Loch	2016-07-19 19:39:00	Mountain	yes	7.454
Loch	2016-07-19 20:09:00	Mountain	yes	7.449
Loch	2016-07-19 20:39:00	Mountain	yes	7.451
Loch	2016-07-19 21:09:00	Mountain	yes	7.441
Loch	2016-07-19 21:39:00	Mountain	yes	7.419
Loch	2016-07-19 22:09:00	Mountain	yes	7.398
Loch	2016-07-19 22:39:00	Mountain	yes	7.394
Loch	2016-07-19 23:09:00	Mountain	yes	7.364
Loch	2016-07-19 23:39:00	Mountain	yes	7.32
Loch	2016-07-20 00:09:00	Mountain	yes	7.303
Loch	2016-07-20 00:39:00	Mountain	yes	7.283
Loch	2016-07-20 01:09:00	Mountain	yes	7.281
Loch	2016-07-20 01:39:00	Mountain	yes	7.252
Loch	2016-07-20 02:09:00	Mountain	yes	7.197
Loch	2016-07-20 02:39:00	Mountain	yes	7.191
Loch	2016-07-20 03:09:00	Mountain	yes	7.16
Loch	2016-07-20 03:39:00	Mountain	yes	7.128
Loch	2016-07-20 04:09:00	Mountain	yes	7.064
Loch	2016-07-20 04:39:00	Mountain	yes	7.044
Loch	2016-07-20 05:09:00	Mountain	yes	7.023
Loch	2016-07-20 05:39:00	Mountain	yes	7
Loch	2016-07-20 06:09:00	Mountain	yes	6.972
Loch	2016-07-20 06:39:00	Mountain	yes	6.962
Loch	2016-07-20 07:09:00	Mountain	yes	6.984
Loch	2016-07-20 07:39:00	Mountain	yes	7.001
Loch	2016-07-20 08:09:00	Mountain	yes	7.027
Loch	2016-07-20 08:39:00	Mountain	yes	7.055
Loch	2016-07-20 09:09:00	Mountain	yes	7.054
Loch	2016-07-20 09:39:00	Mountain	yes	7.115
Loch	2016-07-20 10:09:00	Mountain	yes	7.133
Loch	2016-07-20 10:39:00	Mountain	yes	7.151
Loch	2016-07-20 11:09:00	Mountain	yes	7.184
Loch	2016-07-20 11:39:00	Mountain	yes	7.228
Loch	2016-07-20 12:09:00	Mountain	yes	7.247
Loch	2016-07-20 12:39:00	Mountain	yes	7.334
Loch	2016-07-20 13:09:00	Mountain	yes	7.289
Loch	2016-07-20 13:39:00	Mountain	yes	7.369
Loch	2016-07-20 14:09:00	Mountain	yes	7.365
Loch	2016-07-20 14:39:00	Mountain	yes	7.35
Loch	2016-07-20 15:09:00	Mountain	yes	7.365
Loch	2016-07-20 15:39:00	Mountain	yes	7.369
Loch	2016-07-20 16:09:00	Mountain	yes	7.342
Loch	2016-07-20 16:39:00	Mountain	yes	7.328
Loch	2016-07-20 17:09:00	Mountain	yes	7.342
Loch	2016-07-20 17:39:00	Mountain	yes	7.333
Loch	2016-07-20 18:09:00	Mountain	yes	7.336
Loch	2016-07-20 18:39:00	Mountain	yes	7.306
Loch	2016-07-20 19:09:00	Mountain	yes	7.307
Loch	2016-07-20 19:39:00	Mountain	yes	7.304
Loch	2016-07-20 20:09:00	Mountain	yes	7.289
Loch	2016-07-20 20:39:00	Mountain	yes	7.297
Loch	2016-07-20 21:09:00	Mountain	yes	7.295
Loch	2016-07-20 21:39:00	Mountain	yes	7.246
Loch	2016-07-20 22:09:00	Mountain	yes	7.235
Loch	2016-07-20 22:39:00	Mountain	yes	7.208
Loch	2016-07-20 23:09:00	Mountain	yes	7.191
Loch	2016-07-20 23:39:00	Mountain	yes	7.15
Loch	2016-07-21 00:09:00	Mountain	yes	7.116
Loch	2016-07-21 00:39:00	Mountain	yes	7.076
Loch	2016-07-21 01:09:00	Mountain	yes	7.056
Loch	2016-07-21 01:39:00	Mountain	yes	7.037
Loch	2016-07-21 02:09:00	Mountain	yes	7.006
Loch	2016-07-21 02:39:00	Mountain	yes	6.989
Loch	2016-07-21 03:09:00	Mountain	yes	6.949
Loch	2016-07-21 03:39:00	Mountain	yes	6.93
Loch	2016-07-21 04:09:00	Mountain	yes	6.913
Loch	2016-07-21 04:39:00	Mountain	yes	6.886
Loch	2016-07-21 05:09:00	Mountain	yes	6.897
Loch	2016-07-21 05:39:00	Mountain	yes	6.883
Loch	2016-07-21 06:09:00	Mountain	yes	6.865
Loch	2016-07-21 06:39:00	Mountain	yes	6.855
Loch	2016-07-21 07:09:00	Mountain	yes	6.86
Loch	2016-07-21 07:39:00	Mountain	yes	6.87
Loch	2016-07-21 08:09:00	Mountain	yes	6.886
Loch	2016-07-21 08:39:00	Mountain	yes	6.925
Loch	2016-07-21 09:09:00	Mountain	yes	6.96
Loch	2016-07-21 09:39:00	Mountain	yes	6.974
Loch	2016-07-21 10:09:00	Mountain	yes	7.017
Loch	2016-07-21 10:39:00	Mountain	yes	7.024
Loch	2016-07-21 11:09:00	Mountain	yes	7.052
Loch	2016-07-21 11:39:00	Mountain	yes	7.146
Loch	2016-07-21 12:09:00	Mountain	yes	7.211
Loch	2016-07-21 12:39:00	Mountain	yes	7.277
Loch	2016-07-21 13:09:00	Mountain	yes	7.187
Loch	2016-07-21 13:39:00	Mountain	yes	7.195
Loch	2016-07-21 14:09:00	Mountain	yes	7.236
Loch	2016-07-21 14:39:00	Mountain	yes	7.226
Loch	2016-07-21 15:09:00	Mountain	yes	7.236
Loch	2016-07-21 15:39:00	Mountain	yes	7.235
Loch	2016-07-21 16:09:00	Mountain	yes	7.203
Loch	2016-07-21 16:39:00	Mountain	yes	7.213
Loch	2016-07-21 17:09:00	Mountain	yes	7.261
Loch	2016-07-21 17:39:00	Mountain	yes	7.263
Loch	2016-07-21 18:09:00	Mountain	yes	7.274
Loch	2016-07-21 18:39:00	Mountain	yes	7.295
Loch	2016-07-21 19:09:00	Mountain	yes	7.308
Loch	2016-07-21 19:39:00	Mountain	yes	7.293
Loch	2016-07-21 20:09:00	Mountain	yes	7.275
Loch	2016-07-21 20:39:00	Mountain	yes	7.273
Loch	2016-07-21 21:09:00	Mountain	yes	7.246
Loch	2016-07-21 21:39:00	Mountain	yes	7.226
Loch	2016-07-21 22:09:00	Mountain	yes	7.239
Loch	2016-07-21 22:39:00	Mountain	yes	7.229
Loch	2016-07-21 23:09:00	Mountain	yes	7.228
Loch	2016-07-21 23:39:00	Mountain	yes	7.25
Loch	2016-07-22 00:09:00	Mountain	yes	7.231
Loch	2016-07-22 00:39:00	Mountain	yes	7.232
Loch	2016-07-22 01:09:00	Mountain	yes	7.238
Loch	2016-07-22 01:39:00	Mountain	yes	7.249
Loch	2016-07-22 02:09:00	Mountain	yes	7.233
Loch	2016-07-22 02:39:00	Mountain	yes	7.221
Loch	2016-07-22 03:09:00	Mountain	yes	7.218
Loch	2016-07-22 03:39:00	Mountain	yes	7.213
Loch	2016-07-22 04:09:00	Mountain	yes	7.21
Loch	2016-07-22 04:39:00	Mountain	yes	7.198
Loch	2016-07-22 05:09:00	Mountain	yes	7.189
Loch	2016-07-22 05:39:00	Mountain	yes	7.129
Loch	2016-07-22 06:09:00	Mountain	yes	7.161
Loch	2016-07-22 06:39:00	Mountain	yes	7.132
Loch	2016-07-22 07:09:00	Mountain	yes	7.072
Loch	2016-07-22 07:39:00	Mountain	yes	7.112
Loch	2016-07-22 08:09:00	Mountain	yes	7.173
Loch	2016-07-22 08:39:00	Mountain	yes	7.188
Loch	2016-07-22 09:09:00	Mountain	yes	7.196
Loch	2016-07-22 09:39:00	Mountain	yes	7.232
Loch	2016-07-22 10:09:00	Mountain	yes	7.278
Loch	2016-07-22 10:39:00	Mountain	yes	7.262
Loch	2016-07-22 11:09:00	Mountain	yes	7.351
Loch	2016-07-22 11:39:00	Mountain	yes	7.326
Loch	2016-07-22 12:09:00	Mountain	yes	7.339
Loch	2016-07-22 12:39:00	Mountain	yes	7.374
Loch	2016-07-22 13:09:00	Mountain	yes	7.398
Loch	2016-07-22 13:39:00	Mountain	yes	7.432
Loch	2016-07-22 14:09:00	Mountain	yes	7.435
Loch	2016-07-22 14:39:00	Mountain	yes	7.424
Loch	2016-07-22 15:09:00	Mountain	yes	7.479
Loch	2016-07-22 15:39:00	Mountain	yes	7.502
Loch	2016-07-22 16:09:00	Mountain	yes	7.473
Loch	2016-07-22 16:39:00	Mountain	yes	7.393
Loch	2016-07-22 17:09:00	Mountain	yes	7.431
Loch	2016-07-22 17:39:00	Mountain	yes	7.44
Loch	2016-07-22 18:09:00	Mountain	yes	7.442
Loch	2016-07-22 18:39:00	Mountain	yes	7.405
Loch	2016-07-22 19:09:00	Mountain	yes	7.406
Loch	2016-07-22 19:39:00	Mountain	yes	7.376
Loch	2016-07-22 20:09:00	Mountain	yes	7.37
Loch	2016-07-22 20:39:00	Mountain	yes	7.352
Loch	2016-07-22 21:09:00	Mountain	yes	7.33
Loch	2016-07-22 21:39:00	Mountain	yes	7.285
Loch	2016-07-22 22:09:00	Mountain	yes	7.268
Loch	2016-07-22 22:39:00	Mountain	yes	7.216
Loch	2016-07-22 23:09:00	Mountain	yes	7.177
Loch	2016-07-22 23:39:00	Mountain	yes	7.12
Loch	2016-07-23 00:09:00	Mountain	yes	7.105
Loch	2016-07-23 00:39:00	Mountain	yes	7.076
Loch	2016-07-23 01:09:00	Mountain	yes	7.057
Loch	2016-07-23 01:39:00	Mountain	yes	7.025
Loch	2016-07-23 02:09:00	Mountain	yes	7.001
Loch	2016-07-23 02:39:00	Mountain	yes	6.961
Loch	2016-07-23 03:09:00	Mountain	yes	6.942
Loch	2016-07-23 03:39:00	Mountain	yes	6.937
Loch	2016-07-23 04:09:00	Mountain	yes	6.924
Loch	2016-07-23 04:39:00	Mountain	yes	6.897
Loch	2016-07-23 05:09:00	Mountain	yes	6.885
Loch	2016-07-23 05:39:00	Mountain	yes	6.874
Loch	2016-07-23 06:09:00	Mountain	yes	6.86
Loch	2016-07-23 06:39:00	Mountain	yes	6.87
Loch	2016-07-23 07:09:00	Mountain	yes	6.87
Loch	2016-07-23 07:39:00	Mountain	yes	6.911
Loch	2016-07-23 08:09:00	Mountain	yes	6.949
Loch	2016-07-23 08:39:00	Mountain	yes	6.969
Loch	2016-07-23 09:09:00	Mountain	yes	7.013
Loch	2016-07-23 09:39:00	Mountain	yes	7.03
Loch	2016-07-23 10:09:00	Mountain	yes	7.065
Loch	2016-07-23 10:39:00	Mountain	yes	7.106
Loch	2016-07-23 11:09:00	Mountain	yes	7.136
Loch	2016-07-23 11:39:00	Mountain	yes	7.075
Loch	2016-07-23 12:09:00	Mountain	yes	7.176
Loch	2016-07-23 12:39:00	Mountain	yes	7.185
Loch	2016-07-23 13:09:00	Mountain	yes	7.113
Loch	2016-07-23 13:39:00	Mountain	yes	7.2
Loch	2016-07-23 14:09:00	Mountain	yes	7.255
Loch	2016-07-23 14:39:00	Mountain	yes	7.208
Loch	2016-07-23 15:09:00	Mountain	yes	7.192
Loch	2016-07-23 15:39:00	Mountain	yes	7.225
Loch	2016-07-23 16:09:00	Mountain	yes	7.245
Loch	2016-07-23 16:39:00	Mountain	yes	7.291
Loch	2016-07-23 17:09:00	Mountain	yes	7.312
Loch	2016-07-23 17:39:00	Mountain	yes	7.287
Loch	2016-07-23 18:09:00	Mountain	yes	7.275
Loch	2016-07-23 18:39:00	Mountain	yes	7.276
Loch	2016-07-23 19:09:00	Mountain	yes	7.294
Loch	2016-07-23 19:39:00	Mountain	yes	7.281
Loch	2016-07-23 20:09:00	Mountain	yes	7.251
Loch	2016-07-23 20:39:00	Mountain	yes	7.276
Loch	2016-07-23 21:09:00	Mountain	yes	7.278
Loch	2016-07-23 21:39:00	Mountain	yes	7.248
Loch	2016-07-23 22:09:00	Mountain	yes	7.223
Loch	2016-07-23 22:39:00	Mountain	yes	7.211
Loch	2016-07-23 23:09:00	Mountain	yes	7.189
Loch	2016-07-23 23:39:00	Mountain	yes	7.167
Loch	2016-07-24 00:09:00	Mountain	yes	7.139
Loch	2016-07-24 00:39:00	Mountain	yes	7.104
Loch	2016-07-24 01:09:00	Mountain	yes	7.093
Loch	2016-07-24 01:39:00	Mountain	yes	7.093
Loch	2016-07-24 02:09:00	Mountain	yes	7.052
Loch	2016-07-24 02:39:00	Mountain	yes	7.013
Loch	2016-07-24 03:09:00	Mountain	yes	7.03
Loch	2016-07-24 03:39:00	Mountain	yes	7.041
Loch	2016-07-24 04:09:00	Mountain	yes	7.032
Loch	2016-07-24 04:39:00	Mountain	yes	6.987
Loch	2016-07-24 05:09:00	Mountain	yes	6.972
Loch	2016-07-24 05:39:00	Mountain	yes	6.945
Loch	2016-07-24 06:09:00	Mountain	yes	6.921
Loch	2016-07-24 06:39:00	Mountain	yes	6.959
Loch	2016-07-24 07:09:00	Mountain	yes	6.913
Loch	2016-07-24 07:39:00	Mountain	yes	6.922
Loch	2016-07-24 08:09:00	Mountain	yes	6.945
Loch	2016-07-24 08:39:00	Mountain	yes	6.926
Loch	2016-07-24 09:09:00	Mountain	yes	6.986
Loch	2016-07-24 09:39:00	Mountain	yes	7.01
Loch	2016-07-24 10:09:00	Mountain	yes	7.092
Loch	2016-07-24 10:39:00	Mountain	yes	7.162
Loch	2016-07-24 11:09:00	Mountain	yes	7.164
Loch	2016-07-24 11:39:00	Mountain	yes	7.16
Loch	2016-07-24 12:09:00	Mountain	yes	7.191
Loch	2016-07-24 12:39:00	Mountain	yes	7.178
Loch	2016-07-24 13:09:00	Mountain	yes	7.167
Loch	2016-07-24 13:39:00	Mountain	yes	7.159
Loch	2016-07-24 14:09:00	Mountain	yes	7.169
Loch	2016-07-24 14:39:00	Mountain	yes	7.238
Loch	2016-07-24 15:09:00	Mountain	yes	7.224
Loch	2016-07-24 15:39:00	Mountain	yes	7.305
Loch	2016-07-24 16:09:00	Mountain	yes	7.3
Loch	2016-07-24 16:39:00	Mountain	yes	7.354
Loch	2016-07-24 17:09:00	Mountain	yes	7.297
Loch	2016-07-24 17:39:00	Mountain	yes	7.321
Loch	2016-07-24 18:09:00	Mountain	yes	7.305
Loch	2016-07-24 18:39:00	Mountain	yes	7.354
Loch	2016-07-24 19:09:00	Mountain	yes	7.316
Loch	2016-07-24 19:39:00	Mountain	yes	7.341
Loch	2016-07-24 20:09:00	Mountain	yes	7.36
Loch	2016-07-24 20:39:00	Mountain	yes	7.318
Loch	2016-07-24 21:09:00	Mountain	yes	7.312
Loch	2016-07-24 21:39:00	Mountain	yes	7.317
Loch	2016-07-24 22:09:00	Mountain	yes	7.306
Loch	2016-07-24 22:39:00	Mountain	yes	7.277
Loch	2016-07-24 23:09:00	Mountain	yes	7.248
