"","hylak_id","hybas_id","elevation","centr_lat","centr_lon"
"1",70,7070833220,1518,20.2372455318,-103.011379607
"2",78,6050040470,3815,-15.8815289093,-69.3537544958
"3",79,6060691260,3694,-18.8129432757,-67.0850089521
"4",119,3050696460,1642,51.0812019708,100.477348931
"5",136,4060050570,1601,42.4409603132,77.2661115496
"6",139,2070644030,1898,40.3564555291,45.328729494
"7",141,2070085990,1645,38.6435513706,42.9530650276
"8",143,4060050460,3194,36.8841231998,100.19996072
"9",147,4060050470,4539,31.787208612,88.985537921
"10",149,4060050910,4724,30.737344814,90.6021597685
"11",154,1050810660,1786,12.0118733012,37.3141494941
"12",760,7070415100,2360,44.4352671893,-110.36659838
"13",765,7080444000,2063,43.9002668482,-110.673726302
"14",778,7080482350,1805,41.9948035,-111.329838909
"15",784,7040585110,1838,41.0679623131,-109.562375747
"16",787,7080075670,1556,40.6429394816,-120.739419619
"17",792,7070073920,1898,39.0959186311,-120.033550731
"18",798,7090074940,1948,38.0079225709,-119.014581702
"19",850,7080074890,2131,29.3464110905,-107.838043572
"20",853,7080074360,1967,28.5623642156,-106.767139987
"21",858,7080074220,1831,19.951133968,-101.157598656
"22",870,7090077010,1556,14.6958491755,-91.1943417136
"23",916,6080505250,4080,-11.0158115503,-76.1060126267
"24",924,6090610020,3812,-15.1646486426,-70.0228046751
"25",933,6050040470,3661,-19.3583908917,-68.1074704758
"26",935,6070710440,3657,-19.8665601606,-67.8437209299
"27",937,6070709760,3657,-19.9306119774,-67.308779405
"28",941,6060040490,3654,-20.5536783872,-67.3526776051
"29",955,6080040850,2952,-24.6003382957,-68.9910485622
"30",1225,3080025010,1890,49.2357584323,99.0206014734
"31",1231,3070024580,1792,48.8338101862,97.3147043764
"32",1295,4080055200,2072,44.6036494449,81.1702709324
"33",1305,4080403900,3011,41.8404257134,75.1512400515
"34",1311,2080627740,1961,41.0466214616,43.2417206078
"35",1315,4080056130,3526,40.6334546998,75.2946716824
"36",1330,4070051940,3915,39.0296230964,73.4070057622
"37",1331,4080050600,2793,38.8680128333,93.8808105588
"38",1333,2090672010,1804,38.6751520363,43.5790582269
