lakeID,dateTime,temp_0.5,DO_0.5
TheLoch,7/19/16 13:39,13.638,7.204
TheLoch,7/19/16 14:09,13.427,7.328
TheLoch,7/19/16 14:39,13.673,7.418
TheLoch,7/19/16 15:09,13.805,7.396
TheLoch,7/19/16 15:39,13.945,7.376
TheLoch,7/19/16 16:09,14.006,7.383
TheLoch,7/19/16 16:39,14.224,7.424
TheLoch,7/19/16 17:09,14.259,7.412
TheLoch,7/19/16 17:39,14.329,7.442
TheLoch,7/19/16 18:09,14.398,7.408
TheLoch,7/19/16 18:39,14.398,7.432
TheLoch,7/19/16 19:09,14.407,7.453
TheLoch,7/19/16 19:39,14.355,7.454
TheLoch,7/19/16 20:09,14.355,7.449
TheLoch,7/19/16 20:39,14.285,7.451
TheLoch,7/19/16 21:09,14.25,7.441
TheLoch,7/19/16 21:39,14.189,7.419
TheLoch,7/19/16 22:09,14.189,7.398
TheLoch,7/19/16 22:39,14.128,7.394
TheLoch,7/19/16 23:09,14.093,7.364
TheLoch,7/19/16 23:39,14.119,7.32
TheLoch,7/20/16 0:09,14.067,7.303
TheLoch,7/20/16 0:39,14.006,7.283
TheLoch,7/20/16 1:09,13.945,7.281
TheLoch,7/20/16 1:39,13.883,7.252
TheLoch,7/20/16 2:09,13.805,7.197
TheLoch,7/20/16 2:39,13.752,7.191
TheLoch,7/20/16 3:09,13.708,7.16
TheLoch,7/20/16 3:39,13.612,7.128
TheLoch,7/20/16 4:09,13.471,7.064
TheLoch,7/20/16 4:39,13.322,7.044
TheLoch,7/20/16 5:09,13.181,7.023
TheLoch,7/20/16 5:39,13.04,7
TheLoch,7/20/16 6:09,12.65,6.972
TheLoch,7/20/16 6:39,12.499,6.962
TheLoch,7/20/16 7:09,12.455,6.984
TheLoch,7/20/16 7:39,12.464,7.001
TheLoch,7/20/16 8:09,12.49,7.027
TheLoch,7/20/16 8:39,12.535,7.055
TheLoch,7/20/16 9:09,12.659,7.054
TheLoch,7/20/16 9:39,12.659,7.115
TheLoch,7/20/16 10:09,12.783,7.133
TheLoch,7/20/16 10:39,12.942,7.151
TheLoch,7/20/16 11:09,13.11,7.184
TheLoch,7/20/16 11:39,13.348,7.228
TheLoch,7/20/16 12:09,13.427,7.247
TheLoch,7/20/16 12:39,13.559,7.334
TheLoch,7/20/16 13:09,13.778,7.289
TheLoch,7/20/16 13:39,14.049,7.369
TheLoch,7/20/16 14:09,14.259,7.365
TheLoch,7/20/16 14:39,14.65,7.35
TheLoch,7/20/16 15:09,14.711,7.365
TheLoch,7/20/16 15:39,14.772,7.369
TheLoch,7/20/16 16:09,14.728,7.342
TheLoch,7/20/16 16:39,14.711,7.328
TheLoch,7/20/16 17:09,14.702,7.342
TheLoch,7/20/16 17:39,14.702,7.333
TheLoch,7/20/16 18:09,14.685,7.336
TheLoch,7/20/16 18:39,14.642,7.306
TheLoch,7/20/16 19:09,14.616,7.307
TheLoch,7/20/16 19:39,14.59,7.304
TheLoch,7/20/16 20:09,14.555,7.289
TheLoch,7/20/16 20:39,14.485,7.297
TheLoch,7/20/16 21:09,14.372,7.295
TheLoch,7/20/16 21:39,14.416,7.246
TheLoch,7/20/16 22:09,14.363,7.235
TheLoch,7/20/16 22:39,14.311,7.208
TheLoch,7/20/16 23:09,14.241,7.191
TheLoch,7/20/16 23:39,14.154,7.15
TheLoch,7/21/16 0:09,14.084,7.116
TheLoch,7/21/16 0:39,13.988,7.076
TheLoch,7/21/16 1:09,13.892,7.056
TheLoch,7/21/16 1:39,13.752,7.037
TheLoch,7/21/16 2:09,13.656,7.006
TheLoch,7/21/16 2:39,13.542,6.989
TheLoch,7/21/16 3:09,13.471,6.949
TheLoch,7/21/16 3:39,13.172,6.93
TheLoch,7/21/16 4:09,12.987,6.913
TheLoch,7/21/16 4:39,12.934,6.886
TheLoch,7/21/16 5:09,12.739,6.897
TheLoch,7/21/16 5:39,12.659,6.883
TheLoch,7/21/16 6:09,12.615,6.865
TheLoch,7/21/16 6:39,12.579,6.855
TheLoch,7/21/16 7:09,12.561,6.86
TheLoch,7/21/16 7:39,12.544,6.87
TheLoch,7/21/16 8:09,12.606,6.886
TheLoch,7/21/16 8:39,12.721,6.925
TheLoch,7/21/16 9:09,12.748,6.96
TheLoch,7/21/16 9:39,12.801,6.974
TheLoch,7/21/16 10:09,12.916,7.017
TheLoch,7/21/16 10:39,13.04,7.024
TheLoch,7/21/16 11:09,13.375,7.052
TheLoch,7/21/16 11:39,13.498,7.146
TheLoch,7/21/16 12:09,13.953,7.211
TheLoch,7/21/16 12:39,14.067,7.277
TheLoch,7/21/16 13:09,13.559,7.187
TheLoch,7/21/16 13:39,13.629,7.195
TheLoch,7/21/16 14:09,13.936,7.236
TheLoch,7/21/16 14:39,14.102,7.226
TheLoch,7/21/16 15:09,13.953,7.236
TheLoch,7/21/16 15:39,13.936,7.235
TheLoch,7/21/16 16:09,13.927,7.203
TheLoch,7/21/16 16:39,13.901,7.213
TheLoch,7/21/16 17:09,13.761,7.261
TheLoch,7/21/16 17:39,13.752,7.263
TheLoch,7/21/16 18:09,13.691,7.274
TheLoch,7/21/16 18:39,13.638,7.295
TheLoch,7/21/16 19:09,13.647,7.308
TheLoch,7/21/16 19:39,13.647,7.293
TheLoch,7/21/16 20:09,13.603,7.275
TheLoch,7/21/16 20:39,13.542,7.273
TheLoch,7/21/16 21:09,13.533,7.246
TheLoch,7/21/16 21:39,13.471,7.226
TheLoch,7/21/16 22:09,13.454,7.239
TheLoch,7/21/16 22:39,13.392,7.229
TheLoch,7/21/16 23:09,13.339,7.228
TheLoch,7/21/16 23:39,13.304,7.25
TheLoch,7/22/16 0:09,13.278,7.231
TheLoch,7/22/16 0:39,13.207,7.232
TheLoch,7/22/16 1:09,13.128,7.238
TheLoch,7/22/16 1:39,13.075,7.249
TheLoch,7/22/16 2:09,13.057,7.233
TheLoch,7/22/16 2:39,13.022,7.221
TheLoch,7/22/16 3:09,12.987,7.218
TheLoch,7/22/16 3:39,12.907,7.213
TheLoch,7/22/16 4:09,12.845,7.21
TheLoch,7/22/16 4:39,12.765,7.198
TheLoch,7/22/16 5:09,12.632,7.189
TheLoch,7/22/16 5:39,12.508,7.129
TheLoch,7/22/16 6:09,12.375,7.161
TheLoch,7/22/16 6:39,12.241,7.132
TheLoch,7/22/16 7:09,12.241,7.072
TheLoch,7/22/16 7:39,11.641,7.112
TheLoch,7/22/16 8:09,11.406,7.173
TheLoch,7/22/16 8:39,11.686,7.188
TheLoch,7/22/16 9:09,11.775,7.196
TheLoch,7/22/16 9:39,11.829,7.232
TheLoch,7/22/16 10:09,11.919,7.278
TheLoch,7/22/16 10:39,12.294,7.262
TheLoch,7/22/16 11:09,12.464,7.351
TheLoch,7/22/16 11:39,12.57,7.326
TheLoch,7/22/16 12:09,12.765,7.339
TheLoch,7/22/16 12:39,12.925,7.374
TheLoch,7/22/16 13:09,13.084,7.398
TheLoch,7/22/16 13:39,13.401,7.432
TheLoch,7/22/16 14:09,13.621,7.435
TheLoch,7/22/16 14:39,13.962,7.424
TheLoch,7/22/16 15:09,13.936,7.479
TheLoch,7/22/16 15:39,14.207,7.502
TheLoch,7/22/16 16:09,14.311,7.473
TheLoch,7/22/16 16:39,14.485,7.393
TheLoch,7/22/16 17:09,14.537,7.431
TheLoch,7/22/16 17:39,14.65,7.44
TheLoch,7/22/16 18:09,14.572,7.442
TheLoch,7/22/16 18:39,14.537,7.405
TheLoch,7/22/16 19:09,14.581,7.406
TheLoch,7/22/16 19:39,14.52,7.376
TheLoch,7/22/16 20:09,14.529,7.37
TheLoch,7/22/16 20:39,14.537,7.352
TheLoch,7/22/16 21:09,14.485,7.33
TheLoch,7/22/16 21:39,14.433,7.285
TheLoch,7/22/16 22:09,14.363,7.268
TheLoch,7/22/16 22:39,14.32,7.216
TheLoch,7/22/16 23:09,14.241,7.177
TheLoch,7/22/16 23:39,14.084,7.12
TheLoch,7/23/16 0:09,13.988,7.105
TheLoch,7/23/16 0:39,13.892,7.076
TheLoch,7/23/16 1:09,13.638,7.057
TheLoch,7/23/16 1:39,13.55,7.025
TheLoch,7/23/16 2:09,13.498,7.001
TheLoch,7/23/16 2:39,13.392,6.961
TheLoch,7/23/16 3:09,13.348,6.942
TheLoch,7/23/16 3:39,13.313,6.937
TheLoch,7/23/16 4:09,13.199,6.924
TheLoch,7/23/16 4:39,12.987,6.897
TheLoch,7/23/16 5:09,12.836,6.885
TheLoch,7/23/16 5:39,12.801,6.874
TheLoch,7/23/16 6:09,12.597,6.86
TheLoch,7/23/16 6:39,12.579,6.87
TheLoch,7/23/16 7:09,12.455,6.87
TheLoch,7/23/16 7:39,12.339,6.911
TheLoch,7/23/16 8:09,12.401,6.949
TheLoch,7/23/16 8:39,12.446,6.969
TheLoch,7/23/16 9:09,12.508,7.013
TheLoch,7/23/16 9:39,12.606,7.03
TheLoch,7/23/16 10:09,12.757,7.065
TheLoch,7/23/16 10:39,12.978,7.106
TheLoch,7/23/16 11:09,13.207,7.136
TheLoch,7/23/16 11:39,13.304,7.075
TheLoch,7/23/16 12:09,13.568,7.176
TheLoch,7/23/16 12:39,13.735,7.185
TheLoch,7/23/16 13:09,13.84,7.113
TheLoch,7/23/16 13:39,14.111,7.2
TheLoch,7/23/16 14:09,14.285,7.255
TheLoch,7/23/16 14:39,14.511,7.208
TheLoch,7/23/16 15:09,14.355,7.192
TheLoch,7/23/16 15:39,14.45,7.225
TheLoch,7/23/16 16:09,14.59,7.245
TheLoch,7/23/16 16:39,14.511,7.291
TheLoch,7/23/16 17:09,14.459,7.312
TheLoch,7/23/16 17:39,14.503,7.287
TheLoch,7/23/16 18:09,14.485,7.275
TheLoch,7/23/16 18:39,14.32,7.276
TheLoch,7/23/16 19:09,14.346,7.294
TheLoch,7/23/16 19:39,14.363,7.281
TheLoch,7/23/16 20:09,14.224,7.251
TheLoch,7/23/16 20:39,14.302,7.276
TheLoch,7/23/16 21:09,14.268,7.278
TheLoch,7/23/16 21:39,14.25,7.248
TheLoch,7/23/16 22:09,14.207,7.223
TheLoch,7/23/16 22:39,14.146,7.211
TheLoch,7/23/16 23:09,14.049,7.189
TheLoch,7/23/16 23:39,14.032,7.167
TheLoch,7/24/16 0:09,14.006,7.139
TheLoch,7/24/16 0:39,13.901,7.104
TheLoch,7/24/16 1:09,13.822,7.093
TheLoch,7/24/16 1:39,13.761,7.093
TheLoch,7/24/16 2:09,13.735,7.052
TheLoch,7/24/16 2:39,13.691,7.013
TheLoch,7/24/16 3:09,13.621,7.03
TheLoch,7/24/16 3:39,13.48,7.041
TheLoch,7/24/16 4:09,13.348,7.032
TheLoch,7/24/16 4:39,13.375,6.987
TheLoch,7/24/16 5:09,13.331,6.972
TheLoch,7/24/16 5:39,13.19,6.945
TheLoch,7/24/16 6:09,13.013,6.921
TheLoch,7/24/16 6:39,12.881,6.959
TheLoch,7/24/16 7:09,12.907,6.913
TheLoch,7/24/16 7:39,12.792,6.922
TheLoch,7/24/16 8:09,12.783,6.945
TheLoch,7/24/16 8:39,12.845,6.926
TheLoch,7/24/16 9:09,12.792,6.986
TheLoch,7/24/16 9:39,12.783,7.01
TheLoch,7/24/16 10:09,12.65,7.092
TheLoch,7/24/16 10:39,12.579,7.162
TheLoch,7/24/16 11:09,12.748,7.164
TheLoch,7/24/16 11:39,12.748,7.16
TheLoch,7/24/16 12:09,13.049,7.191
TheLoch,7/24/16 12:39,13.022,7.178
TheLoch,7/24/16 13:09,13.172,7.167
TheLoch,7/24/16 13:39,13.348,7.159
TheLoch,7/24/16 14:09,13.339,7.169
TheLoch,7/24/16 14:39,13.392,7.238
TheLoch,7/24/16 15:09,13.269,7.224
TheLoch,7/24/16 15:39,13.375,7.305
TheLoch,7/24/16 16:09,13.682,7.3
TheLoch,7/24/16 16:39,13.918,7.354
TheLoch,7/24/16 17:09,13.542,7.297
TheLoch,7/24/16 17:39,13.454,7.321
TheLoch,7/24/16 18:09,13.489,7.305
TheLoch,7/24/16 18:39,13.392,7.354
TheLoch,7/24/16 19:09,13.383,7.316
TheLoch,7/24/16 19:39,13.357,7.341
TheLoch,7/24/16 20:09,13.216,7.36
TheLoch,7/24/16 20:39,13.225,7.318
TheLoch,7/24/16 21:09,13.181,7.312
TheLoch,7/24/16 21:39,13.093,7.317
TheLoch,7/24/16 22:09,13.04,7.306
TheLoch,7/24/16 22:39,12.96,7.277
TheLoch,7/24/16 23:09,12.907,7.248
TheLoch,7/24/16 23:39,12.881,7.271
TheLoch,7/25/16 0:09,12.819,7.262
TheLoch,7/25/16 0:39,12.765,7.254
TheLoch,7/25/16 1:09,12.677,7.225
TheLoch,7/25/16 1:39,12.615,7.209
TheLoch,7/25/16 2:09,12.517,7.263
TheLoch,7/25/16 2:39,12.401,7.263
TheLoch,7/25/16 3:09,12.348,7.236
TheLoch,7/25/16 3:39,12.294,7.193
TheLoch,7/25/16 4:09,12.268,7.194
TheLoch,7/25/16 4:39,12.205,7.166
