"dateTime","PAR"
2016-07-19 19:30:00,NA
2016-07-19 20:00:00,1130.3195
2016-07-19 20:30:00,NA
2016-07-19 21:00:00,1042.6425
2016-07-19 21:30:00,NA
2016-07-19 22:00:00,784.9005
2016-07-19 22:30:00,NA
2016-07-19 23:00:00,286.4875
2016-07-19 23:30:00,NA
2016-07-20 00:00:00,374.8525
2016-07-20 00:30:00,NA
2016-07-20 01:00:00,109.263
2016-07-20 01:30:00,NA
2016-07-20 02:00:00,9.5675
2016-07-20 02:30:00,NA
2016-07-20 03:00:00,0
2016-07-20 03:30:00,NA
2016-07-20 04:00:00,0
2016-07-20 04:30:00,NA
2016-07-20 05:00:00,0
2016-07-20 05:30:00,NA
2016-07-20 06:00:00,0
2016-07-20 06:30:00,NA
2016-07-20 07:00:00,0
2016-07-20 07:30:00,NA
2016-07-20 08:00:00,0
2016-07-20 08:30:00,NA
2016-07-20 09:00:00,0
2016-07-20 09:30:00,NA
2016-07-20 10:00:00,0
2016-07-20 10:30:00,NA
2016-07-20 11:00:00,5.3105
2016-07-20 11:30:00,NA
2016-07-20 12:00:00,151.059
2016-07-20 12:30:00,NA
2016-07-20 13:00:00,534.8125
2016-07-20 13:30:00,NA
2016-07-20 14:00:00,991.365
2016-07-20 14:30:00,NA
2016-07-20 15:00:00,1606.1575
2016-07-20 15:30:00,NA
2016-07-20 16:00:00,2206.975
2016-07-20 16:30:00,NA
2016-07-20 17:00:00,2087.2845
2016-07-20 17:30:00,NA
2016-07-20 18:00:00,1913.3495
2016-07-20 18:30:00,NA
2016-07-20 19:00:00,1683.407
2016-07-20 19:30:00,NA
2016-07-20 20:00:00,1857.3205
2016-07-20 20:30:00,NA
2016-07-20 21:00:00,540.9185
2016-07-20 21:30:00,NA
2016-07-20 22:00:00,103.802
2016-07-20 22:30:00,NA
2016-07-20 23:00:00,88.494
2016-07-20 23:30:00,NA
2016-07-21 00:00:00,35.088
2016-07-21 00:30:00,NA
2016-07-21 01:00:00,16.7485
2016-07-21 01:30:00,NA
2016-07-21 02:00:00,1.2255
2016-07-21 02:30:00,NA
2016-07-21 03:00:00,0
2016-07-21 03:30:00,NA
2016-07-21 04:00:00,0
2016-07-21 04:30:00,NA
2016-07-21 05:00:00,0
2016-07-21 05:30:00,NA
2016-07-21 06:00:00,0
2016-07-21 06:30:00,NA
2016-07-21 07:00:00,0
2016-07-21 07:30:00,NA
2016-07-21 08:00:00,0
2016-07-21 08:30:00,NA
2016-07-21 09:00:00,0
2016-07-21 09:30:00,NA
2016-07-21 10:00:00,0
2016-07-21 10:30:00,NA
2016-07-21 11:00:00,3.1605
2016-07-21 11:30:00,NA
2016-07-21 12:00:00,151.016
2016-07-21 12:30:00,NA
2016-07-21 13:00:00,693.762
2016-07-21 13:30:00,NA
2016-07-21 14:00:00,1078.612
2016-07-21 14:30:00,NA
2016-07-21 15:00:00,1517.9
2016-07-21 15:30:00,NA
2016-07-21 16:00:00,1508.053
2016-07-21 16:30:00,NA
2016-07-21 17:00:00,1968.4325
2016-07-21 17:30:00,NA
2016-07-21 18:00:00,1156.8505
2016-07-21 18:30:00,NA
2016-07-21 19:00:00,916.8245
2016-07-21 19:30:00,NA
2016-07-21 20:00:00,538.317
2016-07-21 20:30:00,NA
2016-07-21 21:00:00,188.4905
2016-07-21 21:30:00,NA
2016-07-21 22:00:00,85.6345
2016-07-21 22:30:00,NA
2016-07-21 23:00:00,67.8755
2016-07-21 23:30:00,NA
2016-07-22 00:00:00,91.332
2016-07-22 00:30:00,NA
2016-07-22 01:00:00,93.5035
2016-07-22 01:30:00,NA
2016-07-22 02:00:00,9.9545
2016-07-22 02:30:00,NA
2016-07-22 03:00:00,0
2016-07-22 03:30:00,NA
2016-07-22 04:00:00,0
2016-07-22 04:30:00,NA
2016-07-22 05:00:00,0
2016-07-22 05:30:00,NA
2016-07-22 06:00:00,-0.086
2016-07-22 06:30:00,NA
2016-07-22 07:00:00,0
2016-07-22 07:30:00,NA
2016-07-22 08:00:00,0
2016-07-22 08:30:00,NA
2016-07-22 09:00:00,-0.0215
2016-07-22 09:30:00,NA
2016-07-22 10:00:00,0
2016-07-22 10:30:00,NA
2016-07-22 11:00:00,3.784
2016-07-22 11:30:00,NA
2016-07-22 12:00:00,210.8075
2016-07-22 12:30:00,NA
2016-07-22 13:00:00,714.445
2016-07-22 13:30:00,NA
2016-07-22 14:00:00,1324.142
2016-07-22 14:30:00,NA
2016-07-22 15:00:00,1530.3055
2016-07-22 15:30:00,NA
2016-07-22 16:00:00,1942.353
2016-07-22 16:30:00,NA
2016-07-22 17:00:00,2102.7
2016-07-22 17:30:00,NA
2016-07-22 18:00:00,2189.775
2016-07-22 18:30:00,NA
2016-07-22 19:00:00,2012.0345
2016-07-22 19:30:00,NA
2016-07-22 20:00:00,2028.1595
2016-07-22 20:30:00,NA
2016-07-22 21:00:00,1542.9045
2016-07-22 21:30:00,NA
2016-07-22 22:00:00,560.548
2016-07-22 22:30:00,NA
2016-07-22 23:00:00,341.033
2016-07-22 23:30:00,NA
2016-07-23 00:00:00,90.859
2016-07-23 00:30:00,NA
2016-07-23 01:00:00,67.123
2016-07-23 01:30:00,NA
2016-07-23 02:00:00,7.654
2016-07-23 02:30:00,NA
2016-07-23 03:00:00,0
2016-07-23 03:30:00,NA
2016-07-23 04:00:00,0
2016-07-23 04:30:00,NA
2016-07-23 05:00:00,0
2016-07-23 05:30:00,NA
2016-07-23 06:00:00,0
2016-07-23 06:30:00,NA
2016-07-23 07:00:00,0
2016-07-23 07:30:00,NA
2016-07-23 08:00:00,0
2016-07-23 08:30:00,NA
2016-07-23 09:00:00,0
2016-07-23 09:30:00,NA
2016-07-23 10:00:00,0
2016-07-23 10:30:00,NA
2016-07-23 11:00:00,4.8375
2016-07-23 11:30:00,NA
2016-07-23 12:00:00,247.938
2016-07-23 12:30:00,NA
2016-07-23 13:00:00,774.5805
2016-07-23 13:30:00,NA
2016-07-23 14:00:00,1157.345
2016-07-23 14:30:00,NA
2016-07-23 15:00:00,1564.34
2016-07-23 15:30:00,NA
2016-07-23 16:00:00,1886.9905
2016-07-23 16:30:00,NA
2016-07-23 17:00:00,2105.925
2016-07-23 17:30:00,NA
2016-07-23 18:00:00,2077.4375
2016-07-23 18:30:00,NA
2016-07-23 19:00:00,1956.8655
2016-07-23 19:30:00,NA
2016-07-23 20:00:00,1385.8255
2016-07-23 20:30:00,NA
2016-07-23 21:00:00,1054.6825
2016-07-23 21:30:00,NA
2016-07-23 22:00:00,397.578
2016-07-23 22:30:00,NA
2016-07-23 23:00:00,68.714
