"dateTime","PAR"
2018-06-27 00:00:00,180.944
2018-06-27 00:30:00,NA
2018-06-27 01:00:00,93.568
2018-06-27 01:30:00,NA
2018-06-27 02:00:00,15.007
2018-06-27 02:30:00,NA
2018-06-27 03:00:00,-1.161
2018-06-27 03:30:00,NA
2018-06-27 04:00:00,-0.989
2018-06-27 04:30:00,NA
2018-06-27 05:00:00,-1.677
2018-06-27 05:30:00,NA
2018-06-27 06:00:00,-0.645
2018-06-27 06:30:00,NA
2018-06-27 07:00:00,-0.5805
2018-06-27 07:30:00,NA
2018-06-27 08:00:00,-1.075
2018-06-27 08:30:00,NA
2018-06-27 09:00:00,-1.6985
2018-06-27 09:30:00,NA
2018-06-27 10:00:00,-0.9245
2018-06-27 10:30:00,NA
2018-06-27 11:00:00,20.081
2018-06-27 11:30:00,NA
2018-06-27 12:00:00,330.369
2018-06-27 12:30:00,NA
2018-06-27 13:00:00,801.09
2018-06-27 13:30:00,NA
2018-06-27 14:00:00,1252.9125
2018-06-27 14:30:00,NA
2018-06-27 15:00:00,1649.738
2018-06-27 15:30:00,NA
2018-06-27 16:00:00,1967.25
2018-06-27 16:30:00,NA
2018-06-27 17:00:00,2176.5095
2018-06-27 17:30:00,NA
2018-06-27 18:00:00,2109.838
2018-06-27 18:30:00,NA
2018-06-27 19:00:00,2106.785
2018-06-27 19:30:00,NA
2018-06-27 20:00:00,2006.337
2018-06-27 20:30:00,NA
2018-06-27 21:00:00,1479.1355
2018-06-27 21:30:00,NA
2018-06-27 22:00:00,1077.2145
2018-06-27 22:30:00,NA
2018-06-27 23:00:00,391.1495
2018-06-27 23:30:00,NA
2018-06-28 00:00:00,121.217
2018-06-28 00:30:00,NA
2018-06-28 01:00:00,114.337
2018-06-28 01:30:00,NA
2018-06-28 02:00:00,12.384
2018-06-28 02:30:00,NA
2018-06-28 03:00:00,-0.172
2018-06-28 03:30:00,NA
2018-06-28 04:00:00,-0.387
2018-06-28 04:30:00,NA
2018-06-28 05:00:00,-1.677
2018-06-28 05:30:00,NA
2018-06-28 06:00:00,-1.1395
2018-06-28 06:30:00,NA
2018-06-28 07:00:00,-0.7095
2018-06-28 07:30:00,NA
2018-06-28 08:00:00,-0.0645
2018-06-28 08:30:00,NA
2018-06-28 09:00:00,-0.473
2018-06-28 09:30:00,NA
2018-06-28 10:00:00,-0.1505
2018-06-28 10:30:00,NA
2018-06-28 11:00:00,11.309
2018-06-28 11:30:00,NA
2018-06-28 12:00:00,331.0785
2018-06-28 12:30:00,NA
