"dateTime","wtr_0.5","wtr_4.5"
2018-06-27 00:00:00,12.668,10.302
2018-06-27 00:30:00,12.624,10.348
2018-06-27 01:00:00,12.615,10.284
2018-06-27 01:30:00,12.544,10.275
2018-06-27 02:00:00,12.472,10.238
2018-06-27 02:30:00,12.401,10.266
2018-06-27 03:00:00,12.357,10.257
2018-06-27 03:30:00,12.321,10.193
2018-06-27 04:00:00,12.259,9.909
2018-06-27 04:30:00,12.25,9.615
2018-06-27 05:00:00,12.196,9.439
2018-06-27 05:30:00,12.223,9.171
2018-06-27 06:00:00,12.152,8.948
2018-06-27 06:30:00,12.08,8.752
2018-06-27 07:00:00,12.044,8.686
2018-06-27 07:30:00,11.982,8.602
2018-06-27 08:00:00,11.937,8.593
2018-06-27 08:30:00,11.892,8.349
2018-06-27 09:00:00,11.82,8.302
2018-06-27 09:30:00,11.659,8.236
2018-06-27 10:00:00,11.533,8.226
2018-06-27 10:30:00,11.433,8.179
2018-06-27 11:00:00,11.37,8.141
2018-06-27 11:30:00,11.307,8.056
2018-06-27 12:00:00,11.244,8.047
2018-06-27 12:30:00,11.271,7.934
2018-06-27 13:00:00,11.451,7.905
2018-06-27 13:30:00,11.37,7.877
2018-06-27 14:00:00,11.632,7.952
2018-06-27 14:30:00,11.766,7.99
2018-06-27 15:00:00,12.339,8.141
2018-06-27 15:30:00,12.517,8.198
2018-06-27 16:00:00,12.455,8.141
2018-06-27 16:30:00,12.898,8.283
2018-06-27 17:00:00,13.093,8.292
2018-06-27 17:30:00,13.304,8.386
2018-06-27 18:00:00,13.084,8.414
2018-06-27 18:30:00,13.243,8.527
2018-06-27 19:00:00,13.489,8.536
2018-06-27 19:30:00,13.752,8.565
2018-06-27 20:00:00,13.945,8.64
2018-06-27 20:30:00,14.189,8.602
2018-06-27 21:00:00,14.207,8.705
2018-06-27 21:30:00,14.259,8.593
2018-06-27 22:00:00,13.945,8.518
2018-06-27 22:30:00,14.102,8.64
2018-06-27 23:00:00,14.006,8.574
2018-06-27 23:30:00,14.041,8.602
2018-06-28 00:00:00,14.032,8.621
2018-06-28 00:30:00,13.988,8.546
2018-06-28 01:00:00,13.98,8.555
2018-06-28 01:30:00,13.875,8.565
2018-06-28 02:00:00,13.813,8.555
2018-06-28 02:30:00,13.743,8.611
2018-06-28 03:00:00,13.726,8.621
2018-06-28 03:30:00,13.656,8.583
2018-06-28 04:00:00,13.629,8.565
2018-06-28 04:30:00,13.568,8.546
2018-06-28 05:00:00,13.506,8.565
2018-06-28 05:30:00,13.427,8.583
2018-06-28 06:00:00,13.357,8.565
2018-06-28 06:30:00,13.269,8.593
2018-06-28 07:00:00,13.19,8.574
2018-06-28 07:30:00,13.066,8.583
2018-06-28 08:00:00,12.96,8.583
2018-06-28 08:30:00,12.907,8.593
2018-06-28 09:00:00,12.792,8.574
2018-06-28 09:30:00,12.765,8.583
2018-06-28 10:00:00,12.588,8.574
2018-06-28 10:30:00,12.472,8.602
2018-06-28 11:00:00,12.375,8.602
2018-06-28 11:30:00,12.285,8.621
2018-06-28 12:00:00,12.214,8.583
2018-06-28 12:30:00,12.214,8.611
2018-06-28 13:00:00,12.303,8.649
2018-06-28 13:30:00,12.205,8.574
2018-06-28 14:00:00,12.392,8.649
2018-06-28 14:30:00,12.49,8.724
2018-06-28 15:00:00,12.721,8.845
2018-06-28 15:30:00,12.686,8.845
2018-06-28 16:00:00,12.881,9.003
2018-06-28 16:30:00,12.889,9.003
2018-06-28 17:00:00,13.146,9.059
2018-06-28 17:30:00,13.19,9.05
2018-06-28 18:00:00,13.392,9.143
2018-06-28 18:30:00,13.463,9.161
2018-06-28 19:00:00,13.621,9.199
2018-06-28 19:30:00,13.822,9.254
2018-06-28 20:00:00,13.84,9.291
2018-06-28 20:30:00,14.102,9.236
2018-06-28 21:00:00,14.172,9.263
2018-06-28 21:30:00,14.442,9.375
2018-06-28 22:00:00,14.433,9.291
2018-06-28 22:30:00,14.276,9.263
2018-06-28 23:00:00,14.189,9.291
2018-06-28 23:30:00,14.198,9.319
2018-06-29 00:00:00,14.102,9.31
2018-06-29 00:30:00,14.119,9.319
2018-06-29 01:00:00,14.102,9.291
2018-06-29 01:30:00,14.067,9.282
2018-06-29 02:00:00,14.006,9.282
2018-06-29 02:30:00,14.006,9.3
2018-06-29 03:00:00,13.971,9.3
2018-06-29 03:30:00,13.927,9.273
2018-06-29 04:00:00,13.822,9.282
2018-06-29 04:30:00,13.7,9.291
2018-06-29 05:00:00,13.603,9.31
2018-06-29 05:30:00,13.463,9.3
2018-06-29 06:00:00,13.304,9.3
2018-06-29 06:30:00,13.049,9.319
2018-06-29 07:00:00,12.898,9.254
2018-06-29 07:30:00,12.827,9.282
2018-06-29 08:00:00,12.659,9.254
2018-06-29 08:30:00,12.508,9.208
2018-06-29 09:00:00,12.401,9.161
2018-06-29 09:30:00,12.214,9.041
2018-06-29 10:00:00,12.098,9.003
2018-06-29 10:30:00,11.937,8.929
