"dateTime","DO"
2020-06-02 10:30:00,8.443
2020-06-02 11:00:00,8.579
2020-06-02 11:30:00,8.563
2020-06-02 12:00:00,8.562
2020-06-02 12:30:00,8.55
2020-06-02 13:00:00,8.524
2020-06-02 13:30:00,8.54
2020-06-02 14:00:00,8.556
2020-06-02 14:30:00,8.57
2020-06-02 15:00:00,8.551
2020-06-02 15:30:00,8.578
2020-06-02 16:00:00,8.596
2020-06-02 16:30:00,8.594
2020-06-02 17:00:00,8.685
2020-06-02 17:30:00,8.705
2020-06-02 18:00:00,8.698
2020-06-02 18:30:00,8.608
2020-06-02 19:00:00,8.642
2020-06-02 19:30:00,8.618
2020-06-02 20:00:00,8.632
2020-06-02 20:30:00,8.643
2020-06-02 21:00:00,8.613
2020-06-02 21:30:00,8.623
2020-06-02 22:00:00,8.617
2020-06-02 22:30:00,8.638
2020-06-02 23:00:00,8.707
2020-06-02 23:30:00,8.681
2020-06-03 00:00:00,8.651
2020-06-03 00:30:00,8.64
2020-06-03 01:00:00,8.639
2020-06-03 01:30:00,8.655
2020-06-03 02:00:00,8.538
2020-06-03 02:30:00,8.49
2020-06-03 03:00:00,8.468
2020-06-03 03:30:00,8.485
2020-06-03 04:00:00,8.44
2020-06-03 04:30:00,8.451
2020-06-03 05:00:00,8.454
2020-06-03 05:30:00,8.466
2020-06-03 06:00:00,8.474
2020-06-03 06:30:00,8.476
2020-06-03 07:00:00,8.443
2020-06-03 07:30:00,8.423
2020-06-03 08:00:00,8.415
2020-06-03 08:30:00,8.451
2020-06-03 09:00:00,8.447
2020-06-03 09:30:00,8.473
2020-06-03 10:00:00,8.462
2020-06-03 10:30:00,8.478
2020-06-03 11:00:00,8.48
2020-06-03 11:30:00,8.484
2020-06-03 12:00:00,8.457
2020-06-03 12:30:00,8.427
2020-06-03 13:00:00,8.484
2020-06-03 13:30:00,8.465
2020-06-03 14:00:00,8.475
2020-06-03 14:30:00,8.504
2020-06-03 15:00:00,8.557
2020-06-03 15:30:00,8.569
2020-06-03 16:00:00,8.555
2020-06-03 16:30:00,8.573
2020-06-03 17:00:00,8.556
2020-06-03 17:30:00,8.541
2020-06-03 18:00:00,8.525
2020-06-03 18:30:00,8.498
2020-06-03 19:00:00,8.515
2020-06-03 19:30:00,8.519
