lakeID	dateTime	localTZ	daylightSavings	wtr0.5	wtr4.5
Loch	2016-07-19 13:39:00	Mountain	yes	13.638	12.654
Loch	2016-07-19 14:09:00	Mountain	yes	13.427	12.645
Loch	2016-07-19 14:39:00	Mountain	yes	13.673	12.778
Loch	2016-07-19 15:09:00	Mountain	yes	13.805	12.893
Loch	2016-07-19 15:39:00	Mountain	yes	13.945	12.99
Loch	2016-07-19 16:09:00	Mountain	yes	14.006	13.016
Loch	2016-07-19 16:39:00	Mountain	yes	14.224	13.069
Loch	2016-07-19 17:09:00	Mountain	yes	14.259	13.104
Loch	2016-07-19 17:39:00	Mountain	yes	14.329	13.174
Loch	2016-07-19 18:09:00	Mountain	yes	14.398	13.227
Loch	2016-07-19 18:39:00	Mountain	yes	14.398	13.271
Loch	2016-07-19 19:09:00	Mountain	yes	14.407	13.253
Loch	2016-07-19 19:39:00	Mountain	yes	14.355	13.236
Loch	2016-07-19 20:09:00	Mountain	yes	14.355	13.218
Loch	2016-07-19 20:39:00	Mountain	yes	14.285	13.201
Loch	2016-07-19 21:09:00	Mountain	yes	14.25	13.218
Loch	2016-07-19 21:39:00	Mountain	yes	14.189	13.201
Loch	2016-07-19 22:09:00	Mountain	yes	14.189	13.236
Loch	2016-07-19 22:39:00	Mountain	yes	14.128	13.174
Loch	2016-07-19 23:09:00	Mountain	yes	14.093	12.99
Loch	2016-07-19 23:39:00	Mountain	yes	14.119	12.663
Loch	2016-07-20 00:09:00	Mountain	yes	14.067	12.601
Loch	2016-07-20 00:39:00	Mountain	yes	14.006	12.592
Loch	2016-07-20 01:09:00	Mountain	yes	13.945	12.424
Loch	2016-07-20 01:39:00	Mountain	yes	13.883	12.53
Loch	2016-07-20 02:09:00	Mountain	yes	13.805	12.557
Loch	2016-07-20 02:39:00	Mountain	yes	13.752	12.406
Loch	2016-07-20 03:09:00	Mountain	yes	13.708	12.698
Loch	2016-07-20 03:39:00	Mountain	yes	13.612	12.919
Loch	2016-07-20 04:09:00	Mountain	yes	13.471	12.796
Loch	2016-07-20 04:39:00	Mountain	yes	13.322	12.769
Loch	2016-07-20 05:09:00	Mountain	yes	13.181	12.663
Loch	2016-07-20 05:39:00	Mountain	yes	13.04	12.14
Loch	2016-07-20 06:09:00	Mountain	yes	12.65	12.086
Loch	2016-07-20 06:39:00	Mountain	yes	12.499	11.979
Loch	2016-07-20 07:09:00	Mountain	yes	12.455	11.819
Loch	2016-07-20 07:39:00	Mountain	yes	12.464	11.801
Loch	2016-07-20 08:09:00	Mountain	yes	12.49	11.872
Loch	2016-07-20 08:39:00	Mountain	yes	12.535	11.89
Loch	2016-07-20 09:09:00	Mountain	yes	12.659	11.935
Loch	2016-07-20 09:39:00	Mountain	yes	12.659	11.935
Loch	2016-07-20 10:09:00	Mountain	yes	12.783	12.06
Loch	2016-07-20 10:39:00	Mountain	yes	12.942	12.238
Loch	2016-07-20 11:09:00	Mountain	yes	13.11	12.371
Loch	2016-07-20 11:39:00	Mountain	yes	13.348	12.442
Loch	2016-07-20 12:09:00	Mountain	yes	13.427	12.397
Loch	2016-07-20 12:39:00	Mountain	yes	13.559	12.53
Loch	2016-07-20 13:09:00	Mountain	yes	13.778	12.592
Loch	2016-07-20 13:39:00	Mountain	yes	14.049	12.716
Loch	2016-07-20 14:09:00	Mountain	yes	14.259	12.831
Loch	2016-07-20 14:39:00	Mountain	yes	14.65	12.928
Loch	2016-07-20 15:09:00	Mountain	yes	14.711	12.928
Loch	2016-07-20 15:39:00	Mountain	yes	14.772	12.937
Loch	2016-07-20 16:09:00	Mountain	yes	14.728	12.884
Loch	2016-07-20 16:39:00	Mountain	yes	14.711	12.91
Loch	2016-07-20 17:09:00	Mountain	yes	14.702	12.99
Loch	2016-07-20 17:39:00	Mountain	yes	14.702	13.069
Loch	2016-07-20 18:09:00	Mountain	yes	14.685	12.998
Loch	2016-07-20 18:39:00	Mountain	yes	14.642	13.025
