"dateTime","DO"
2018-06-27 00:00:00,8.696
2018-06-27 00:30:00,8.69
2018-06-27 01:00:00,8.685
2018-06-27 01:30:00,8.698
2018-06-27 02:00:00,8.666
2018-06-27 02:30:00,8.688
2018-06-27 03:00:00,8.661
2018-06-27 03:30:00,8.643
2018-06-27 04:00:00,8.653
2018-06-27 04:30:00,8.602
2018-06-27 05:00:00,8.602
2018-06-27 05:30:00,8.591
2018-06-27 06:00:00,8.5
2018-06-27 06:30:00,8.533
2018-06-27 07:00:00,8.491
2018-06-27 07:30:00,8.487
2018-06-27 08:00:00,8.478
2018-06-27 08:30:00,8.496
2018-06-27 09:00:00,8.452
2018-06-27 09:30:00,8.443
2018-06-27 10:00:00,8.478
2018-06-27 10:30:00,8.484
2018-06-27 11:00:00,8.492
2018-06-27 11:30:00,8.472
2018-06-27 12:00:00,8.501
2018-06-27 12:30:00,8.448
2018-06-27 13:00:00,8.436
2018-06-27 13:30:00,8.469
2018-06-27 14:00:00,8.494
2018-06-27 14:30:00,8.535
2018-06-27 15:00:00,8.65
2018-06-27 15:30:00,8.673
2018-06-27 16:00:00,8.723
2018-06-27 16:30:00,8.626
2018-06-27 17:00:00,8.687
2018-06-27 17:30:00,8.714
2018-06-27 18:00:00,8.787
2018-06-27 18:30:00,8.835
2018-06-27 19:00:00,8.856
2018-06-27 19:30:00,8.861
2018-06-27 20:00:00,8.836
2018-06-27 20:30:00,8.87
2018-06-27 21:00:00,8.866
2018-06-27 21:30:00,8.942
2018-06-27 22:00:00,8.895
2018-06-27 22:30:00,8.899
2018-06-27 23:00:00,8.905
2018-06-27 23:30:00,8.892
2018-06-28 00:00:00,8.878
2018-06-28 00:30:00,8.94
2018-06-28 01:00:00,8.916
2018-06-28 01:30:00,8.902
2018-06-28 02:00:00,8.861
2018-06-28 02:30:00,8.874
2018-06-28 03:00:00,8.858
2018-06-28 03:30:00,8.896
2018-06-28 04:00:00,8.833
2018-06-28 04:30:00,8.814
2018-06-28 05:00:00,8.792
2018-06-28 05:30:00,8.746
2018-06-28 06:00:00,8.791
2018-06-28 06:30:00,8.803
2018-06-28 07:00:00,8.856
2018-06-28 07:30:00,8.855
2018-06-28 08:00:00,8.836
2018-06-28 08:30:00,8.848
2018-06-28 09:00:00,8.823
2018-06-28 09:30:00,8.772
2018-06-28 10:00:00,8.68
2018-06-28 10:30:00,8.708
2018-06-28 11:00:00,8.812
2018-06-28 11:30:00,8.764
2018-06-28 12:00:00,8.777
2018-06-28 12:30:00,8.795
2018-06-28 13:00:00,8.78
2018-06-28 13:30:00,8.709
2018-06-28 14:00:00,8.777
2018-06-28 14:30:00,8.851
2018-06-28 15:00:00,8.834
2018-06-28 15:30:00,8.845
2018-06-28 16:00:00,8.933
2018-06-28 16:30:00,8.947
2018-06-28 17:00:00,8.937
2018-06-28 17:30:00,8.998
2018-06-28 18:00:00,8.986
2018-06-28 18:30:00,8.993
2018-06-28 19:00:00,9.055
2018-06-28 19:30:00,8.974
2018-06-28 20:00:00,8.988
2018-06-28 20:30:00,9.087
2018-06-28 21:00:00,9.042
2018-06-28 21:30:00,9.081
2018-06-28 22:00:00,9.14
2018-06-28 22:30:00,9.123
2018-06-28 23:00:00,9.048
2018-06-28 23:30:00,9.058
2018-06-29 00:00:00,9.104
2018-06-29 00:30:00,9.051
2018-06-29 01:00:00,9.012
2018-06-29 01:30:00,8.944
2018-06-29 02:00:00,8.954
2018-06-29 02:30:00,9.077
2018-06-29 03:00:00,9.025
2018-06-29 03:30:00,9.001
2018-06-29 04:00:00,8.948
2018-06-29 04:30:00,8.987
2018-06-29 05:00:00,8.971
2018-06-29 05:30:00,8.975
2018-06-29 06:00:00,8.928
2018-06-29 06:30:00,8.939
2018-06-29 07:00:00,9.002
2018-06-29 07:30:00,8.972
2018-06-29 08:00:00,8.633
2018-06-29 08:30:00,8.918
2018-06-29 09:00:00,8.813
2018-06-29 09:30:00,8.538
2018-06-29 10:00:00,8.677
2018-06-29 10:30:00,8.546
2018-06-29 11:00:00,8.407
2018-06-29 11:30:00,8.325
2018-06-29 12:00:00,8.317
2018-06-29 12:30:00,8.291
2018-06-29 13:00:00,8.302
2018-06-29 13:30:00,8.336
2018-06-29 14:00:00,8.338
2018-06-29 14:30:00,8.372
2018-06-29 15:00:00,8.393
2018-06-29 15:30:00,8.414
2018-06-29 16:00:00,8.418
2018-06-29 16:30:00,8.429
2018-06-29 17:00:00,8.467
2018-06-29 17:30:00,8.465
2018-06-29 18:00:00,8.491
2018-06-29 18:30:00,8.498
2018-06-29 19:00:00,8.524
2018-06-29 19:30:00,8.558
