"dateTime","wtr_0.5","wtr_7.0"
2018-05-30 00:00:00,NA,NA
2018-05-30 00:30:00,4.465,4.489
2018-05-30 01:00:00,4.445,4.439
2018-05-30 01:30:00,4.415,4.449
2018-05-30 02:00:00,4.415,4.429
2018-05-30 02:30:00,4.384,4.409
2018-05-30 03:00:00,4.354,4.378
2018-05-30 03:30:00,4.334,4.368
2018-05-30 04:00:00,4.283,4.348
2018-05-30 04:30:00,4.293,4.308
2018-05-30 05:00:00,4.283,4.298
2018-05-30 05:30:00,4.243,4.237
2018-05-30 06:00:00,4.243,4.237
2018-05-30 06:30:00,4.202,4.207
2018-05-30 07:00:00,4.162,4.207
2018-05-30 07:30:00,4.142,4.186
2018-05-30 08:00:00,4.111,4.105
2018-05-30 08:30:00,4.081,4.136
2018-05-30 09:00:00,4.05,4.085
2018-05-30 09:30:00,4.04,4.075
2018-05-30 10:00:00,4.009,4.075
2018-05-30 10:30:00,3.999,4.024
2018-05-30 11:00:00,3.969,4.004
2018-05-30 11:30:00,3.959,3.984
2018-05-30 12:00:00,3.948,3.953
2018-05-30 12:30:00,3.867,3.973
2018-05-30 13:00:00,3.877,3.953
2018-05-30 13:30:00,3.897,3.943
2018-05-30 14:00:00,3.857,3.912
2018-05-30 14:30:00,3.877,3.882
2018-05-30 15:00:00,3.928,3.973
2018-05-30 15:30:00,3.999,3.984
2018-05-30 16:00:00,4.02,4.024
2018-05-30 16:30:00,4.101,4.115
2018-05-30 17:00:00,4.192,4.136
2018-05-30 17:30:00,4.304,4.257
2018-05-30 18:00:00,4.293,4.318
2018-05-30 18:30:00,4.384,4.368
2018-05-30 19:00:00,4.415,4.419
2018-05-30 19:30:00,4.505,4.529
2018-05-30 20:00:00,4.697,4.68
2018-05-30 20:30:00,4.676,4.71
2018-05-30 21:00:00,4.686,4.77
2018-05-30 21:30:00,4.666,4.8
2018-05-30 22:00:00,4.666,4.7
2018-05-30 22:30:00,4.727,4.65
2018-05-30 23:00:00,4.807,4.71
2018-05-30 23:30:00,4.817,4.75
2018-05-31 00:00:00,4.877,4.72
2018-05-31 00:30:00,4.837,4.76
2018-05-31 01:00:00,4.797,4.76
2018-05-31 01:30:00,4.817,4.77
2018-05-31 02:00:00,4.767,4.79
2018-05-31 02:30:00,4.807,4.75
2018-05-31 03:00:00,4.817,4.82
2018-05-31 03:30:00,4.787,4.8
2018-05-31 04:00:00,4.777,4.77
2018-05-31 04:30:00,4.797,4.76
2018-05-31 05:00:00,4.747,4.76
2018-05-31 05:30:00,4.747,4.73
2018-05-31 06:00:00,4.757,4.74
2018-05-31 06:30:00,4.737,4.73
2018-05-31 07:00:00,4.727,4.72
2018-05-31 07:30:00,4.717,4.71
2018-05-31 08:00:00,4.676,4.69
2018-05-31 08:30:00,4.676,4.69
2018-05-31 09:00:00,4.666,4.68
2018-05-31 09:30:00,4.676,4.67
2018-05-31 10:00:00,4.606,4.65
2018-05-31 10:30:00,4.586,4.59
2018-05-31 11:00:00,4.576,4.58
2018-05-31 11:30:00,4.536,4.55
2018-05-31 12:00:00,4.526,4.55
2018-05-31 12:30:00,4.505,4.529
2018-05-31 13:00:00,4.516,4.54
2018-05-31 13:30:00,4.465,4.519
2018-05-31 14:00:00,4.445,4.479
2018-05-31 14:30:00,4.475,4.489
2018-05-31 15:00:00,4.536,4.519
2018-05-31 15:30:00,4.606,4.62
2018-05-31 16:00:00,4.717,4.65
2018-05-31 16:30:00,4.857,4.71
2018-05-31 17:00:00,4.847,4.79
2018-05-31 17:30:00,4.646,4.84
2018-05-31 18:00:00,4.727,4.89
2018-05-31 18:30:00,4.837,4.96
2018-05-31 19:00:00,4.977,5.02
2018-05-31 19:30:00,4.656,4.93
2018-05-31 20:00:00,4.546,4.82
2018-05-31 20:30:00,4.556,4.78
2018-05-31 21:00:00,4.697,4.75
2018-05-31 21:30:00,5.166,4.91
2018-05-31 22:00:00,5.395,5.11
2018-05-31 22:30:00,5.414,5.348
2018-05-31 23:00:00,5.325,5.398
2018-05-31 23:30:00,5.276,5.338
2018-06-01 00:00:00,5.186,5.318
2018-06-01 00:30:00,5.216,5.189
2018-06-01 01:00:00,5.186,5.209
2018-06-01 01:30:00,5.395,5.209
2018-06-01 02:00:00,5.345,5.249
2018-06-01 02:30:00,5.186,5.259
2018-06-01 03:00:00,5.136,5.189
2018-06-01 03:30:00,5.206,5.159
2018-06-01 04:00:00,5.206,5.14
2018-06-01 04:30:00,5.156,5.179
2018-06-01 05:00:00,5.136,5.14
2018-06-01 05:30:00,5.503,5.169
2018-06-01 06:00:00,5.513,5.506
2018-06-01 06:30:00,5.226,5.378
2018-06-01 07:00:00,5.186,5.179
2018-06-01 07:30:00,5.067,5.199
2018-06-01 08:00:00,5.057,5.11
2018-06-01 08:30:00,5.126,5.03
2018-06-01 09:00:00,5.087,5.07
2018-06-01 09:30:00,5.116,5.06
2018-06-01 10:00:00,5.067,5.06
2018-06-01 10:30:00,5.087,5.01
2018-06-01 11:00:00,5.077,5.09
2018-06-01 11:30:00,5.037,5.05
2018-06-01 12:00:00,4.997,5.04
