"dateTime","windSpeed"
2019-08-06 20:30:00,NA
2019-08-06 21:00:00,0.8180832
2019-08-06 21:30:00,NA
2019-08-06 22:00:00,0.6571488
2019-08-06 22:30:00,NA
2019-08-06 23:00:00,0.9030208
2019-08-06 23:30:00,NA
2019-08-07 00:00:00,0.5006848
2019-08-07 00:30:00,NA
2019-08-07 01:00:00,0.0044704
2019-08-07 01:30:00,NA
2019-08-07 02:00:00,0
2019-08-07 02:30:00,NA
2019-08-07 03:00:00,0
2019-08-07 03:30:00,NA
2019-08-07 04:00:00,0.0044704
2019-08-07 04:30:00,NA
2019-08-07 05:00:00,0.044704
2019-08-07 05:30:00,NA
2019-08-07 06:00:00,0.022352
2019-08-07 06:30:00,NA
2019-08-07 07:00:00,0.4112768
2019-08-07 07:30:00,NA
2019-08-07 08:00:00,0.7242048
2019-08-07 08:30:00,NA
2019-08-07 09:00:00,0.2861056
2019-08-07 09:30:00,NA
2019-08-07 10:00:00,0.603504
2019-08-07 10:30:00,NA
2019-08-07 11:00:00,1.2248896
2019-08-07 11:30:00,NA
2019-08-07 12:00:00,1.1935968
2019-08-07 12:30:00,NA
2019-08-07 13:00:00,0.6124448
2019-08-07 13:30:00,NA
2019-08-07 14:00:00,0.7465568
2019-08-07 14:30:00,NA
2019-08-07 15:00:00,0.7644384
2019-08-07 15:30:00,NA
2019-08-07 16:00:00,0.8180832
2019-08-07 16:30:00,NA
2019-08-07 17:00:00,0.8672576
2019-08-07 17:30:00,NA
2019-08-07 18:00:00,0.9968992
2019-08-07 18:30:00,NA
2019-08-07 19:00:00,0.7644384
2019-08-07 19:30:00,NA
2019-08-07 20:00:00,0.8180832
2019-08-07 20:30:00,NA
2019-08-07 21:00:00,0.9209024
2019-08-07 21:30:00,NA
2019-08-07 22:00:00,0.7018528
2019-08-07 22:30:00,NA
2019-08-07 23:00:00,0.7063232
2019-08-07 23:30:00,NA
2019-08-08 00:00:00,0.0938784
2019-08-08 00:30:00,NA
2019-08-08 01:00:00,0.0312928
2019-08-08 01:30:00,NA
2019-08-08 02:00:00,0
2019-08-08 02:30:00,NA
2019-08-08 03:00:00,0.2816352
2019-08-08 03:30:00,NA
2019-08-08 04:00:00,0.4380992
2019-08-08 04:30:00,NA
2019-08-08 05:00:00,0.1296416
2019-08-08 05:30:00,NA
2019-08-08 06:00:00,0
2019-08-08 06:30:00,NA
2019-08-08 07:00:00,0
2019-08-08 07:30:00,NA
2019-08-08 08:00:00,0
2019-08-08 08:30:00,NA
2019-08-08 09:00:00,0.0938784
2019-08-08 09:30:00,NA
2019-08-08 10:00:00,0
2019-08-08 10:30:00,NA
2019-08-08 11:00:00,0
2019-08-08 11:30:00,NA
2019-08-08 12:00:00,0
2019-08-08 12:30:00,NA
2019-08-08 13:00:00,0
2019-08-08 13:30:00,NA
2019-08-08 14:00:00,0
2019-08-08 14:30:00,NA
2019-08-08 15:00:00,0.3933952
2019-08-08 15:30:00,NA
2019-08-08 16:00:00,0.3755136
2019-08-08 16:30:00,NA
2019-08-08 17:00:00,0.6213856
2019-08-08 17:30:00,NA
2019-08-08 18:00:00,0.8404352
2019-08-08 18:30:00,NA
2019-08-08 19:00:00,0.692912
2019-08-08 19:30:00,NA
2019-08-08 20:00:00,0.804672
2019-08-08 20:30:00,NA
2019-08-08 21:00:00,0.7510272
2019-08-08 21:30:00,NA
2019-08-08 22:00:00,0.469392
2019-08-08 22:30:00,NA
