"dateTime","PAR"
2020-06-04 00:00:00,0
2020-06-04 00:30:00,NA
2020-06-04 01:00:00,0
2020-06-04 01:30:00,NA
2020-06-04 02:00:00,0
2020-06-04 02:30:00,NA
2020-06-04 03:00:00,0
2020-06-04 03:30:00,NA
2020-06-04 04:00:00,0
2020-06-04 04:30:00,NA
2020-06-04 05:00:00,0
2020-06-04 05:30:00,NA
2020-06-04 06:00:00,173.29
2020-06-04 06:30:00,NA
2020-06-04 07:00:00,581.145
2020-06-04 07:30:00,NA
2020-06-04 08:00:00,1066.185
2020-06-04 08:30:00,NA
2020-06-04 09:00:00,1490.38
2020-06-04 09:30:00,NA
2020-06-04 10:00:00,1851.15
2020-06-04 10:30:00,NA
2020-06-04 11:00:00,2132.8
2020-06-04 11:30:00,NA
2020-06-04 12:00:00,626.51
2020-06-04 12:30:00,NA
2020-06-04 13:00:00,1475.76
2020-06-04 13:30:00,NA
2020-06-04 14:00:00,741.32
2020-06-04 14:30:00,NA
2020-06-04 15:00:00,1441.145
2020-06-04 15:30:00,NA
2020-06-04 16:00:00,965.565
2020-06-04 16:30:00,NA
2020-06-04 17:00:00,595.765
2020-06-04 17:30:00,NA
2020-06-04 18:00:00,161.078
2020-06-04 18:30:00,NA
2020-06-04 19:00:00,63.8765
2020-06-04 19:30:00,NA
2020-06-04 20:00:00,14.05885
2020-06-04 20:30:00,NA
2020-06-04 21:00:00,-1.79095
2020-06-04 21:30:00,NA
2020-06-04 22:00:00,0
2020-06-04 22:30:00,NA
2020-06-04 23:00:00,0
2020-06-04 23:30:00,NA
2020-06-05 00:00:00,0
2020-06-05 00:30:00,NA
2020-06-05 01:00:00,0
2020-06-05 01:30:00,NA
2020-06-05 02:00:00,0
2020-06-05 02:30:00,NA
2020-06-05 03:00:00,0
2020-06-05 03:30:00,NA
2020-06-05 04:00:00,0
2020-06-05 04:30:00,NA
2020-06-05 05:00:00,0
2020-06-05 05:30:00,NA
2020-06-05 06:00:00,41.3875
2020-06-05 06:30:00,NA
2020-06-05 07:00:00,572.76
2020-06-05 07:30:00,NA
2020-06-05 08:00:00,1065.325
2020-06-05 08:30:00,NA
2020-06-05 09:00:00,1505.86
2020-06-05 09:30:00,NA
2020-06-05 10:00:00,1872.65
2020-06-05 10:30:00,NA
2020-06-05 11:00:00,2134.95
2020-06-05 11:30:00,NA
2020-06-05 12:00:00,2276.85
2020-06-05 12:30:00,NA
2020-06-05 13:00:00,2311.25
2020-06-05 13:30:00,NA
2020-06-05 14:00:00,2233.85
2020-06-05 14:30:00,NA
2020-06-05 15:00:00,2059.7
2020-06-05 15:30:00,NA
2020-06-05 16:00:00,1806
2020-06-05 16:30:00,NA
2020-06-05 17:00:00,918.48
2020-06-05 17:30:00,NA
2020-06-05 18:00:00,279.715
2020-06-05 18:30:00,NA
2020-06-05 19:00:00,69.8965
2020-06-05 19:30:00,NA
2020-06-05 20:00:00,28.896
2020-06-05 20:30:00,NA
2020-06-05 21:00:00,0
2020-06-05 21:30:00,NA
2020-06-05 22:00:00,0
2020-06-05 22:30:00,NA
2020-06-05 23:00:00,0
2020-06-05 23:30:00,NA
2020-06-06 00:00:00,0
2020-06-06 00:30:00,NA
2020-06-06 01:00:00,0
2020-06-06 01:30:00,NA
2020-06-06 02:00:00,0
2020-06-06 02:30:00,NA
2020-06-06 03:00:00,0
2020-06-06 03:30:00,NA
2020-06-06 04:00:00,0
2020-06-06 04:30:00,NA
2020-06-06 05:00:00,0
2020-06-06 05:30:00,NA
2020-06-06 06:00:00,23.4995
2020-06-06 06:30:00,NA
2020-06-06 07:00:00,136.7185
2020-06-06 07:30:00,NA
2020-06-06 08:00:00,59.77
2020-06-06 08:30:00,NA
2020-06-06 09:00:00,80.066
2020-06-06 09:30:00,NA
2020-06-06 10:00:00,206.83
2020-06-06 10:30:00,NA
2020-06-06 11:00:00,336.045
2020-06-06 11:30:00,NA
2020-06-06 12:00:00,478.375
2020-06-06 12:30:00,NA
2020-06-06 13:00:00,387
2020-06-06 13:30:00,NA
2020-06-06 14:00:00,869.89
2020-06-06 14:30:00,NA
2020-06-06 15:00:00,256.71
2020-06-06 15:30:00,NA
2020-06-06 16:00:00,442.685
2020-06-06 16:30:00,NA
2020-06-06 17:00:00,148.9305
2020-06-06 17:30:00,NA
2020-06-06 18:00:00,466.55
2020-06-06 18:30:00,NA
2020-06-06 19:00:00,179.955
2020-06-06 19:30:00,NA
2020-06-06 20:00:00,26.574
2020-06-06 20:30:00,NA
2020-06-06 21:00:00,0
2020-06-06 21:30:00,NA
2020-06-06 22:00:00,0
2020-06-06 22:30:00,NA
2020-06-06 23:00:00,0
2020-06-06 23:30:00,NA
2020-06-07 00:00:00,0
2020-06-07 00:30:00,NA
2020-06-07 01:00:00,0
2020-06-07 01:30:00,NA
2020-06-07 02:00:00,0
2020-06-07 02:30:00,NA
2020-06-07 03:00:00,0
2020-06-07 03:30:00,NA
2020-06-07 04:00:00,0
2020-06-07 04:30:00,NA
2020-06-07 05:00:00,0
2020-06-07 05:30:00,NA
2020-06-07 06:00:00,129.7095
2020-06-07 06:30:00,NA
2020-06-07 07:00:00,609.31
2020-06-07 07:30:00,NA
2020-06-07 08:00:00,1081.665
2020-06-07 08:30:00,NA
2020-06-07 09:00:00,1519.835
2020-06-07 09:30:00,NA
2020-06-07 10:00:00,1887.7
2020-06-07 10:30:00,NA
2020-06-07 11:00:00,2141.4
2020-06-07 11:30:00,NA
2020-06-07 12:00:00,2296.2
2020-06-07 12:30:00,NA
2020-06-07 13:00:00,2021
2020-06-07 13:30:00,NA
2020-06-07 14:00:00,2053.25
2020-06-07 14:30:00,NA
2020-06-07 15:00:00,1769.45
2020-06-07 15:30:00,NA
2020-06-07 16:00:00,785.825
2020-06-07 16:30:00,NA
2020-06-07 17:00:00,370.015
2020-06-07 17:30:00,NA
2020-06-07 18:00:00,313.04
2020-06-07 18:30:00,NA
2020-06-07 19:00:00,76.067
2020-06-07 19:30:00,NA
2020-06-07 20:00:00,37.453
2020-06-07 20:30:00,NA
2020-06-07 21:00:00,0
2020-06-07 21:30:00,NA
2020-06-07 22:00:00,0
2020-06-07 22:30:00,NA
2020-06-07 23:00:00,0
2020-06-07 23:30:00,NA
2020-06-08 00:00:00,0
2020-06-08 00:30:00,NA
2020-06-08 01:00:00,0
2020-06-08 01:30:00,NA
2020-06-08 02:00:00,0
2020-06-08 02:30:00,NA
2020-06-08 03:00:00,0
2020-06-08 03:30:00,NA
2020-06-08 04:00:00,0
2020-06-08 04:30:00,NA
2020-06-08 05:00:00,0
2020-06-08 05:30:00,NA
2020-06-08 06:00:00,133.5365
2020-06-08 06:30:00,NA
2020-06-08 07:00:00,614.9
2020-06-08 07:30:00,NA
2020-06-08 08:00:00,1109.83
2020-06-08 08:30:00,NA
2020-06-08 09:00:00,1543.915
2020-06-08 09:30:00,NA
2020-06-08 10:00:00,1915.65
2020-06-08 10:30:00,NA
2020-06-08 11:00:00,2229.55
2020-06-08 11:30:00,NA
2020-06-08 12:00:00,2115.6
2020-06-08 12:30:00,NA
2020-06-08 13:00:00,548.895
2020-06-08 13:30:00,NA
2020-06-08 14:00:00,544.81
2020-06-08 14:30:00,NA
2020-06-08 15:00:00,436.235
2020-06-08 15:30:00,NA
2020-06-08 16:00:00,263.375
2020-06-08 16:30:00,NA
2020-06-08 17:00:00,124.5065
2020-06-08 17:30:00,NA
2020-06-08 18:00:00,19.5435
2020-06-08 18:30:00,NA
2020-06-08 19:00:00,14.9597
2020-06-08 19:30:00,NA
2020-06-08 20:00:00,6.13825
2020-06-08 20:30:00,NA
2020-06-08 21:00:00,0.0344
2020-06-08 21:30:00,NA
2020-06-08 22:00:00,0
2020-06-08 22:30:00,NA
2020-06-08 23:00:00,0
2020-06-08 23:30:00,NA
2020-06-09 00:00:00,0
2020-06-09 00:30:00,NA
2020-06-09 01:00:00,0
2020-06-09 01:30:00,NA
2020-06-09 02:00:00,0
2020-06-09 02:30:00,NA
2020-06-09 03:00:00,0
2020-06-09 03:30:00,NA
2020-06-09 04:00:00,0
2020-06-09 04:30:00,NA
2020-06-09 05:00:00,0
2020-06-09 05:30:00,NA
2020-06-09 06:00:00,18.189
2020-06-09 06:30:00,NA
