lakeID,dateTime,temp_6.5,DO_6.5
SkyPond,8/13/16 0:15,8.178,8.22
SkyPond,8/13/16 0:45,8.169,8.193
SkyPond,8/13/16 1:15,8.15,8.191
SkyPond,8/13/16 1:45,8.15,8.192
SkyPond,8/13/16 2:15,8.122,8.136
SkyPond,8/13/16 2:45,8.112,8.189
SkyPond,8/13/16 3:15,8.093,8.175
SkyPond,8/13/16 3:45,8.037,8.104
SkyPond,8/13/16 4:15,8.037,8.045
SkyPond,8/13/16 4:45,8.084,8.115
SkyPond,8/13/16 5:15,8.018,7.97
SkyPond,8/13/16 5:45,7.961,8.089
SkyPond,8/13/16 6:15,8.056,8.108
SkyPond,8/13/16 6:45,8.084,7.961
SkyPond,8/13/16 7:15,7.952,8.004
SkyPond,8/13/16 7:45,7.942,8.027
SkyPond,8/13/16 8:15,7.989,7.974
SkyPond,8/13/16 8:45,7.876,8.018
SkyPond,8/13/16 9:15,7.933,8.09
SkyPond,8/13/16 9:45,7.904,8.115
SkyPond,8/13/16 10:15,7.989,8.121
SkyPond,8/13/16 10:45,7.923,8.198
SkyPond,8/13/16 11:15,7.895,8.193
SkyPond,8/13/16 11:45,7.885,8.288
SkyPond,8/13/16 12:15,7.971,8.27
SkyPond,8/13/16 12:45,7.952,8.309
SkyPond,8/13/16 13:15,7.885,8.319
SkyPond,8/13/16 13:45,7.904,8.265
SkyPond,8/13/16 14:15,7.914,8.31
SkyPond,8/13/16 14:45,7.876,8.332
SkyPond,8/13/16 15:15,7.914,8.349
SkyPond,8/13/16 15:45,7.933,8.384
SkyPond,8/13/16 16:15,7.933,8.396
SkyPond,8/13/16 16:45,7.942,8.376
SkyPond,8/13/16 17:15,7.98,8.394
SkyPond,8/13/16 17:45,7.952,8.417
SkyPond,8/13/16 18:15,7.952,8.389
SkyPond,8/13/16 18:45,7.952,8.392
SkyPond,8/13/16 19:15,7.942,8.402
SkyPond,8/13/16 19:45,7.961,8.403
SkyPond,8/13/16 20:15,7.971,8.412
SkyPond,8/13/16 20:45,7.98,8.402
SkyPond,8/13/16 21:15,7.952,8.388
SkyPond,8/13/16 21:45,7.98,8.382
SkyPond,8/13/16 22:15,7.933,8.392
SkyPond,8/13/16 22:45,7.999,8.419
SkyPond,8/13/16 23:15,7.989,8.388
SkyPond,8/13/16 23:45,7.98,8.383
SkyPond,8/14/16 0:15,8.027,8.38
SkyPond,8/14/16 0:45,8.008,8.379
SkyPond,8/14/16 1:15,7.999,8.356
SkyPond,8/14/16 1:45,7.971,8.324
SkyPond,8/14/16 2:15,7.98,8.339
SkyPond,8/14/16 2:45,7.98,8.339
SkyPond,8/14/16 3:15,8.008,8.346
SkyPond,8/14/16 3:45,7.999,8.324
SkyPond,8/14/16 4:15,7.952,8.175
SkyPond,8/14/16 4:45,7.923,8.213
SkyPond,8/14/16 5:15,7.933,8.243
SkyPond,8/14/16 5:45,7.914,8.242
SkyPond,8/14/16 6:15,7.895,8.224
SkyPond,8/14/16 6:45,7.923,8.213
SkyPond,8/14/16 7:15,7.961,8.198
SkyPond,8/14/16 7:45,7.952,8.252
SkyPond,8/14/16 8:15,7.952,8.232
SkyPond,8/14/16 8:45,7.971,8.219
SkyPond,8/14/16 9:15,7.923,8.058
SkyPond,8/14/16 9:45,7.942,8.144
SkyPond,8/14/16 10:15,7.885,8.141
SkyPond,8/14/16 10:45,7.923,8.24
SkyPond,8/14/16 11:15,7.895,8.315
SkyPond,8/14/16 11:45,7.961,8.301
SkyPond,8/14/16 12:15,8.027,8.34
SkyPond,8/14/16 12:45,7.971,8.328
SkyPond,8/14/16 13:15,7.989,8.401
SkyPond,8/14/16 13:45,8.027,8.403
SkyPond,8/14/16 14:15,8.027,8.444
SkyPond,8/14/16 14:45,8.056,8.5
SkyPond,8/14/16 15:15,8.065,8.471
SkyPond,8/14/16 15:45,8.065,8.492
SkyPond,8/14/16 16:15,8.065,8.473
SkyPond,8/14/16 16:45,8.075,8.532
SkyPond,8/14/16 17:15,8.112,8.598
SkyPond,8/14/16 17:45,8.084,8.604
SkyPond,8/14/16 18:15,8.075,8.623
SkyPond,8/14/16 18:45,8.103,8.59
SkyPond,8/14/16 19:15,8.103,8.583
SkyPond,8/14/16 19:45,8.084,8.593
SkyPond,8/14/16 20:15,8.093,8.603
SkyPond,8/14/16 20:45,8.15,8.606
SkyPond,8/14/16 21:15,8.103,8.567
SkyPond,8/14/16 21:45,8.093,8.583
